Dep_ID,iso_week_UTC,light_reg,n_days,n_hours,bal_count,hbw_count,fish_c_count,dol_count,ves_count,mnk_count,spwh_count,shr_count,bal_pres,hbw_pres,fish_c_pres,dol_pres,ves_pres,mnk_pres,spwh_pres,shr_pres
CGMP_201807_CG,27,day,7,70,0,66,0,5,16,0,0,2,0,0.9428571428571428,0,0.07142857142857142,0.22857142857142856,0,0,0.02857142857142857
CGMP_201807_CG,27,night,7,84,0,84,9,8,4,0,0,8,0,1,0.10714285714285714,0.09523809523809523,0.047619047619047616,0,0,0.09523809523809523
CGMP_201807_CG,27,twilight,7,14,0,14,1,0,2,0,0,11,0,1,0.07142857142857142,0,0.14285714285714285,0,0,0.7857142857142857
CGMP_201807_CG,28,day,7,70,1,68,6,7,29,0,0,4,0.014285714285714285,0.9714285714285714,0.08571428571428572,0.1,0.4142857142857143,0,0,0.05714285714285714
CGMP_201807_CG,28,night,7,84,0,82,30,31,10,0,0,9,0,0.9761904761904762,0.35714285714285715,0.36904761904761907,0.11904761904761904,0,0,0.10714285714285714
CGMP_201807_CG,28,twilight,7,14,0,13,6,1,5,0,0,8,0,0.9285714285714286,0.42857142857142855,0.07142857142857142,0.35714285714285715,0,0,0.5714285714285714
CGMP_201807_CG,29,day,7,73,0,71,2,0,40,0,0,4,0,0.9726027397260274,0.0273972602739726,0,0.547945205479452,0,0,0.0547945205479452
CGMP_201807_CG,29,night,7,78,0,78,11,10,11,0,0,6,0,1,0.14102564102564102,0.1282051282051282,0.14102564102564102,0,0,0.07692307692307693
CGMP_201807_CG,29,twilight,7,15,0,15,3,1,7,0,0,10,0,1,0.2,0.06666666666666667,0.4666666666666667,0,0,0.6666666666666666
CGMP_201807_CG,30,day,7,77,0,75,3,3,49,0,0,6,0,0.974025974025974,0.03896103896103896,0.03896103896103896,0.6363636363636364,0,0,0.07792207792207792
CGMP_201807_CG,30,night,7,77,0,77,25,8,11,0,0,6,0,1,0.3246753246753247,0.1038961038961039,0.14285714285714285,0,0,0.07792207792207792
