Dep_ID,month_UTC,n_days,n_hours,bal_count,hbw_count,fish_c_count,dol_count,ves_count,mnk_count,spwh_count,shr_count,bal_pres,hbw_pres,fish_c_pres,dol_pres,ves_pres,mnk_pres,spwh_pres,shr_pres,tidal_mag_m,mean_water_temp_C,mean_wind_m_sec,mean_wind_km_h,rain_month_avg_mm,wind_am_month_avg_kmh,wind_pm_month_avg_kmh
CGMP_201807_CG,7,31,737,0,721,112,82,206,2,0,91,0,0.9782903663500678,0.1519674355495251,0.1112618724559023,0.27951153324287653,0.0027137042062415195,0,0.12347354138398914,2.0029999999999997,16.34708276797829,4.285888738127544,15.429199457259159,97.6,13.5,18.1
CGMP_201812_CG,1,31,744,1,16,117,81,167,0,0,93,0.0013440860215053765,0.021505376344086023,0.15725806451612903,0.10887096774193548,0.22446236559139784,0,0,0.125,1.9860000000000002,21.432795698924732,3.0505376344086024,10.981935483870968,152.3,14.4,21.4
CGMP_201812_CG,2,20,458,5,6,119,40,96,0,0,58,0.010917030567685589,0.013100436681222707,0.259825327510917,0.08733624454148471,0.2096069868995633,0,0,0.12663755458515283,1.9560000000000002,21.82161572052402,3.4862445414847163,12.550480349344978,178.1,13.7,20.7
CGMP_201812_CG,12,21,482,2,32,62,74,64,0,0,60,0.004149377593360996,0.06639004149377593,0.12863070539419086,0.15352697095435686,0.13278008298755187,0,0,0.12448132780082988,1.869,20.907053941908714,3.0883817427385893,11.118174273858921,126.5,14.3,21
CGMP_201904_CG,4,21,490,0,0,66,39,98,9,0,42,0,0,0.1346938775510204,0.07959183673469387,0.2,0.018367346938775512,0,0.08571428571428572,1.653,21.251428571428573,2.696938775510204,9.708979591836735,167.3,13.4,18.5
CGMP_201904_CG,5,31,744,0,29,131,150,162,189,0,93,0,0.038978494623655914,0.1760752688172043,0.20161290322580644,0.21774193548387097,0.2540322580645161,0,0.125,1.6749999999999998,20.664381720430107,4.204301075268817,15.135483870967741,144.3,13.3,16.8
CGMP_201904_CG,6,24,566,0,437,63,88,114,71,0,70,0,0.7720848056537103,0.11130742049469965,0.15547703180212014,0.20141342756183744,0.1254416961130742,0,0.12367491166077739,1.811,19.40070671378092,3.7818021201413425,13.614487632508833,133.2,13.8,17.3
DAMPIER_202009_DNE,9,23,538,0,386,180,91,65,0,0,66,0,0.7174721189591078,0.3345724907063197,0.1691449814126394,0.120817843866171,0,0,0.12267657992565056,9.761,27.140898345153666,4.549442379182156,16.377992565055763,1.4,19.2,26.3
DAMPIER_202009_DNE,10,31,744,0,147,508,57,59,0,0,92,0,0.1975806451612903,0.6827956989247311,0.07661290322580645,0.0793010752688172,0,0,0.12365591397849462,9.704,27.315734265734267,5.448472222222223,19.6145,0.4,19.7,28.4
MURAT_202002_MRE,2,23,538,37,0,79,41,0,0,0,65,0.0687732342007435,0,0.14684014869888476,0.0762081784386617,0,0,0,0.120817843866171,1.343,21.332824427480915,NA,NA,13.6,17,26.7
MURAT_202002_MRE,3,31,744,47,0,121,268,2,0,4,93,0.06317204301075269,0,0.16263440860215053,0.3602150537634409,0.002688172043010753,0,0.005376344086021506,0.125,1.296,19.53663500678426,NA,NA,15.8,15.7,24.6
MURAT_202002_MRE,4,30,720,22,0,67,138,0,0,4,90,0.030555555555555555,0,0.09305555555555556,0.19166666666666668,0,0,0.005555555555555556,0.125,1.2120000000000002,19.282703488372093,NA,NA,19.9,14.2,21.3
NINGALOO_201909_NGN,10,31,744,0,445,76,47,23,0,0,93,0,0.5981182795698925,0.10215053763440861,0.06317204301075269,0.030913978494623656,0,0,0.125,2.55,NA,NA,NA,1.4,21,23.6
NINGALOO_201909_NGN,11,17,408,0,90,54,33,13,1,0,51,0,0.22058823529411764,0.1323529411764706,0.08088235294117647,0.031862745098039214,0.0024509803921568627,0,0.125,2.3400000000000003,NA,NA,NA,1.8,21.5,24.7
SIMP_201808_WP,8,23,529,8,529,124,84,116,0,0,65,0.015122873345935728,1,0.23440453686200377,0.15879017013232513,0.21928166351606806,0,0,0.12287334593572778,1.977,15.087523629489603,4.9368620037807185,17.772703213610587,79.5,11.5,18.2
SIMP_201812_WP,12,20,480,0,10,87,17,54,0,0,60,0,0.020833333333333332,0.18125,0.035416666666666666,0.1125,0,0,0.125,1.869,20.909791666666667,3.0970833333333334,11.1495,144.9,15.1,22.5
SIMP_201906_WP,6,22,514,0,465,93,42,37,214,0,60,0,0.9046692607003891,0.18093385214007782,0.08171206225680934,0.07198443579766536,0.4163424124513619,0,0.11673151750972763,1.597,18.75661478599222,3.6221789883268483,13.039844357976653,120.8,10.5,14.7
SIMP_201906_WP,7,31,744,0,742,65,92,87,48,0,93,0,0.9973118279569892,0.08736559139784947,0.12365591397849462,0.11693548387096774,0.06451612903225806,0,0.125,1.944,16.663709677419355,4.320564516129032,15.554032258064517,72.5,10.3,15.5
SWC_202201_SWS,2,28,672,0,0,43,191,119,0,5,0,0,0,0.06398809523809523,0.28422619047619047,0.17708333333333334,0,0.00744047619047619,0,0.9870000000000001,24.63154761904762,2.9907738095238097,10.766785714285714,11.6,28.2,30.5
SWC_202201_SWS,3,31,744,21,0,36,182,121,0,4,0,0.028225806451612902,0,0.04838709677419355,0.2446236559139785,0.16263440860215053,0,0.005376344086021506,0,0.9660000000000001,23.44731182795699,3.029032258064516,10.904516129032258,23,26.6,27
