dep,PARKSAUSTRALIA_DAMPIER_202009_DNE_38,PARKSAUSTRALIA_DAMPIER_202009_DNE_39,PARKSAUSTRALIA_DAMPIER_202009_DNE_40,PARKSAUSTRALIA_DAMPIER_202009_DNE_41,PARKSAUSTRALIA_DAMPIER_202009_DNE_42,PARKSAUSTRALIA_DAMPIER_202009_DNE_44,PARKSAUSTRALIA_NINGALOO_201909_NGN_40,PARKSAUSTRALIA_NINGALOO_201909_NGN_41,PARKSAUSTRALIA_NINGALOO_201909_NGN_42,PARKSAUSTRALIA_NINGALOO_201909_NGN_43,PARKSAUSTRALIA_NINGALOO_201909_NGN_44,PARKSAUSTRALIA_NINGALOO_201909_NGN_45,PARKSAUSTRALIA_NINGALOO_201909_NGN_46
PARKSAUSTRALIA_DAMPIER_202009_DNE_38,0,0.016311040995817393,0.008925539917588071,0.022196112574748336,0.012713833872876196,0.02908565473928677,0.05036477124310381,0.0499164496911097,0.04927687450386456,0.04787355623840909,0.049597403256272356,0.04420014927395274,0.042395130103464754
PARKSAUSTRALIA_DAMPIER_202009_DNE_39,0.016311040995817393,0,0.013658889206879096,0.00663030693407935,0.006624358774031768,0.014451563688437972,0.03995239654915202,0.03896942632096146,0.03850120702073546,0.037152817790562315,0.03862378428336275,0.03346008753685896,0.032582037041108895
PARKSAUSTRALIA_DAMPIER_202009_DNE_40,0.008925539917588071,0.013658889206879096,0,0.019701682081536383,0.01023688073765421,0.02666324835582963,0.04363820107519232,0.04320795858971054,0.04235748427511474,0.04088964789693561,0.04270721115890997,0.03690595137764883,0.0351245503455747
PARKSAUSTRALIA_DAMPIER_202009_DNE_41,0.022196112574748336,0.00663030693407935,0.019701682081536383,0,0.010492850322447358,0.009397547525421735,0.041466765819645916,0.04025442857024037,0.039859153969345404,0.0384513430745693,0.03993353721467323,0.03491804021706409,0.03409821458700363
PARKSAUSTRALIA_DAMPIER_202009_DNE_42,0.012713833872876196,0.006624358774031768,0.01023688073765421,0.010492850322447358,0,0.017480937212155285,0.043260843678378784,0.04287736590222104,0.042566585602025454,0.04166479804141902,0.04257107433297051,0.03795570826369883,0.03724994474031177
PARKSAUSTRALIA_DAMPIER_202009_DNE_44,0.02908565473928677,0.014451563688437972,0.02666324835582963,0.009397547525421735,0.017480937212155285,0,0.049126727956197214,0.04744566088278119,0.04722118733541572,0.045277995282471846,0.04713091612374086,0.041130063204275605,0.039991379439164844
PARKSAUSTRALIA_NINGALOO_201909_NGN_40,0.05036477124310381,0.03995239654915202,0.04363820107519232,0.041466765819645916,0.043260843678378784,0.049126727956197214,0,0.004082529024850272,0.004266972539858782,0.005608684512984915,0.004270931252763958,0.010545830915200024,0.013891228669747456
PARKSAUSTRALIA_NINGALOO_201909_NGN_41,0.0499164496911097,0.03896942632096146,0.04320795858971054,0.04025442857024037,0.04287736590222104,0.04744566088278119,0.004082529024850272,0,0.0025433234760199636,0.00422602558356872,0.0012512968028724218,0.009822872624479615,0.013257479179723315
PARKSAUSTRALIA_NINGALOO_201909_NGN_42,0.04927687450386456,0.03850120702073546,0.04235748427511474,0.039859153969345404,0.042566585602025454,0.04722118733541572,0.004266972539858782,0.0025433234760199636,0,0.0025493331221653906,0.0020620775974779146,0.008043880329628723,0.011419187641769074
PARKSAUSTRALIA_NINGALOO_201909_NGN_43,0.04787355623840909,0.037152817790562315,0.04088964789693561,0.0384513430745693,0.04166479804141902,0.045277995282471846,0.005608684512984915,0.00422602558356872,0.0025493331221653906,0,0.0035611683206668928,0.0063144144221141665,0.009467164284090269
PARKSAUSTRALIA_NINGALOO_201909_NGN_44,0.049597403256272356,0.03862378428336275,0.04270721115890997,0.03993353721467323,0.04257107433297051,0.04713091612374086,0.004270931252763958,0.0012512968028724218,0.0020620775974779146,0.0035611683206668928,0,0.009148343161989616,0.01249088363348464
PARKSAUSTRALIA_NINGALOO_201909_NGN_45,0.04420014927395274,0.03346008753685896,0.03690595137764883,0.03491804021706409,0.03795570826369883,0.041130063204275605,0.010545830915200024,0.009822872624479615,0.008043880329628723,0.0063144144221141665,0.009148343161989616,0,0.0037305995268729934
PARKSAUSTRALIA_NINGALOO_201909_NGN_46,0.042395130103464754,0.032582037041108895,0.0351245503455747,0.03409821458700363,0.03724994474031177,0.039991379439164844,0.013891228669747456,0.013257479179723315,0.011419187641769074,0.009467164284090269,0.01249088363348464,0.0037305995268729934,0
