dep,PARKSAUSTRALIA_CGMP_201807_CG_7_30,PARKSAUSTRALIA_CGMP_201812_CG_12_20,PARKSAUSTRALIA_CGMP_201812_CG_1_31,PARKSAUSTRALIA_CGMP_201812_CG_2_19,PARKSAUSTRALIA_CGMP_201904_CG_5_31,PARKSAUSTRALIA_CGMP_201904_CG_6_23,PARKSAUSTRALIA_DAMPIER_202009_DNE_10_30,PARKSAUSTRALIA_DAMPIER_202009_DNE_9_21,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_1_19,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_2_28,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_3_31,PARKSAUSTRALIA_JURIEN_202201_JNE_1_26,PARKSAUSTRALIA_JURIEN_202201_JNE_2_28,PARKSAUSTRALIA_MURAT_202002_MRE_2_21,PARKSAUSTRALIA_MURAT_202002_MRE_3_31,PARKSAUSTRALIA_MURAT_202002_MRE_4_30,PARKSAUSTRALIA_NINGALOO_201909_NGN_10_31,PARKSAUSTRALIA_NINGALOO_201909_NGN_11_17,PARKSAUSTRALIA_SIMP_201808_WP_8_21,PARKSAUSTRALIA_SIMP_201812_WP_12_19,PARKSAUSTRALIA_SIMP_201906_WP_6_20,PARKSAUSTRALIA_SIMP_201906_WP_7_31,PARKSAUSTRALIA_SWC_202201_SWS_2_28,PARKSAUSTRALIA_SWC_202201_SWS_3_31,PARKSAUSTRALIA_TWOROCKS_202105_TRW_5_21,PARKSAUSTRALIA_TWOROCKS_202105_TRW_6_25,PARKSAUSTRALIA_TWOROCKS_202105_TRW_7_30
PARKSAUSTRALIA_CGMP_201807_CG_7_30,0,0.008758755724918623,0.011555717706776296,0.014235005885922752,0.007844071667946427,0.007727432932671463,0.0178742058134898,0.022958657091506032,0.020096892656259673,0.02534364179014304,0.032013359670807026,0.05342121237822209,0.052659120996464935,0.017055182463628586,0.01762200072295723,0.015615054978383093,0.04162587532775142,0.03777870418554981,0.018694586565159852,0.03330614352905572,0.01906553931860757,0.01575143794219508,0.05131946687514147,0.049997197788381305,0.015342079056532312,0.016379635595645918,0.02025273801445779
PARKSAUSTRALIA_CGMP_201812_CG_1_31,0.011555717706776296,0.007317732596639154,0,0.004739211685739301,0.007120426674379635,0.014941362426517241,0.015888891039536966,0.021431903431517164,0.02321531239152573,0.024725554678735318,0.029493406876390297,0.06174353633167006,0.06089459613784746,0.023227114486730326,0.023734364364925924,0.021239960518649646,0.04974690141474906,0.04542622748367299,0.017012015613397175,0.025561969269112545,0.012794424430989786,0.01387803078502626,0.059849308452721,0.058538870892022775,0.01840398269419026,0.019163890479502364,0.027423380499126872
PARKSAUSTRALIA_CGMP_201812_CG_12_20,0.008758755724918623,0,0.007317732596639154,0.009786629065173623,0.006343029867415541,0.009743579264831548,0.012515966754685567,0.01825511236289044,0.023763916041968258,0.027111374319177563,0.03394091087574581,0.05537801443609131,0.05427383874355621,0.017976021599467918,0.018943375852838614,0.017522666929735843,0.043447002780991714,0.03889155680012928,0.018706706405819944,0.03198716354025935,0.017590167383996866,0.015023693352758593,0.053725526898971594,0.052433174339322444,0.015434512409040278,0.017179342120210807,0.02224597811825953
PARKSAUSTRALIA_CGMP_201812_CG_2_19,0.014235005885922752,0.009786629065173623,0.004739211685739301,0,0.009955118963058465,0.016970647517782156,0.01800681542392687,0.02066187890733814,0.026830032262525335,0.027323057063745958,0.03148144188080603,0.06368301212033964,0.06244230534289825,0.026192485237878177,0.026917477695234306,0.025011876512829916,0.05176483824951654,0.04706229553118186,0.01480173854517773,0.02555112885150533,0.011880882479597983,0.012013862058955231,0.06168371833833656,0.06036897461241558,0.021959626743945557,0.022655459937737463,0.03012071000516409
PARKSAUSTRALIA_CGMP_201904_CG_5_31,0.007844071667946427,0.006343029867415541,0.007120426674379635,0.009955118963058465,0,0.009357389938051602,0.01538050798151384,0.021105077067781287,0.02192436328756389,0.02419909590324034,0.030004816850474188,0.05833867080879523,0.056864422036629406,0.0198463299447308,0.020759547421134943,0.018249314775821472,0.04641480974289883,0.0416889288708793,0.01973248188280638,0.030439636220039753,0.016210553656666103,0.016066123881693227,0.056135554686524904,0.054855166785945576,0.014496985022803329,0.01627916550190197,0.023506516015976343
PARKSAUSTRALIA_CGMP_201904_CG_6_23,0.007727432932671463,0.009743579264831548,0.014941362426517241,0.016970647517782156,0.009357389938051602,0,0.013714273254163951,0.018701828284843895,0.025088836624282927,0.031046897256838263,0.03839750796269032,0.04953678201572888,0.048051357747549976,0.01449139272249757,0.01598652853981818,0.014767583701079905,0.03751267449138831,0.03274129205539783,0.023204742683195986,0.03859990475651781,0.023976126076294936,0.018992107092074856,0.04758070914637689,0.04632018244033308,0.015506421577688572,0.017070663665995314,0.017452695258136888
PARKSAUSTRALIA_DAMPIER_202009_DNE_10_30,0.0178742058134898,0.012515966754685567,0.015888891039536966,0.01800681542392687,0.01538050798151384,0.013714273254163951,0,0.010505660490474801,0.03252506998610955,0.03632032256410486,0.04208006537468505,0.0505216821451981,0.04968526323740977,0.018110322939120425,0.019566543389174663,0.019362012342953552,0.038459712833415906,0.03492255724896104,0.02641100866856186,0.03813253270319683,0.02515009941317155,0.023543510194970443,0.048840518265778704,0.04764142452324562,0.021636911063275966,0.02372003540364361,0.02295253761818077
PARKSAUSTRALIA_DAMPIER_202009_DNE_9_21,0.022958657091506032,0.01825511236289044,0.021431903431517164,0.02066187890733814,0.021105077067781287,0.018701828284843895,0.010505660490474801,0,0.038823618160054675,0.04265855136008728,0.04858952478029099,0.051069094250142916,0.050463914463617233,0.02546906477048094,0.026996767677951887,0.026466385764871855,0.04212356624730535,0.038274546777743106,0.02754589970745096,0.04351089531308522,0.029003217872108723,0.024823072996752966,0.05078534931270389,0.04978395165895743,0.02701706633474435,0.028495633431312287,0.028983595630358107
PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_1_19,0.020096892656259673,0.023763916041968258,0.02321531239152573,0.026830032262525335,0.02192436328756389,0.025088836624282927,0.03252506998610955,0.038823618160054675,0,0.007263014186873414,0.01450337499633703,0.06295214950669938,0.06281275248909843,0.028058628574658316,0.026519568091097855,0.022325575779978016,0.05343664958106497,0.050660787866493966,0.027267442235227732,0.025331553282064285,0.022795598278192032,0.02499918241535247,0.06091187727295385,0.059517511182864316,0.014217941637859572,0.012833512694166098,0.029728354470305453
PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_2_28,0.02534364179014304,0.027111374319177563,0.024725554678735318,0.027323057063745958,0.02419909590324034,0.031046897256838263,0.03632032256410486,0.04265855136008728,0.007263014186873414,0,0.007455354428727754,0.06999404904807409,0.06985966326859223,0.034942357391953,0.03342184534648284,0.029167631820549714,0.060417703509285256,0.057619679485030134,0.026645940948227382,0.02201164429515783,0.021730740779744746,0.02616142440027715,0.06796066965422266,0.0665715834739987,0.019059337361678225,0.018136662670360827,0.03659566350739078
PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_3_31,0.032013359670807026,0.03394091087574581,0.029493406876390297,0.03148144188080603,0.030004816850474188,0.03839750796269032,0.04208006537468505,0.04858952478029099,0.01450337499633703,0.007455354428727754,0,0.07740048884956575,0.07726358304974208,0.042379702224316106,0.04086345520805816,0.03659541648243157,0.06785494300444193,0.06506646243310062,0.03153531948648423,0.021060809838255423,0.024422331186575937,0.03209956245913264,0.07536293141536003,0.07397025866104341,0.026413024293637892,0.025393838863031724,0.04403211902019386
PARKSAUSTRALIA_JURIEN_202201_JNE_1_26,0.05342121237822209,0.05537801443609131,0.06174353633167006,0.06368301212033964,0.05833867080879523,0.04953678201572888,0.0505216821451981,0.051069094250142916,0.06295214950669938,0.06999404904807409,0.07740048884956575,0,0.0027572848766613447,0.040242910585899024,0.04075212012084418,0.04647953398852991,0.014909735717807933,0.021042575104627422,0.06441453700486231,0.08090965396041878,0.06850795505811386,0.06260129158509622,0.004950853751830623,0.005838423434683507,0.05804259096243134,0.0586398891049,0.03979347702078573
