dep,CGMP_201807_CG_7_day,CGMP_201807_CG_7_night,CGMP_201807_CG_7_twilight,CGMP_201812_CG_12_day,CGMP_201812_CG_12_night,CGMP_201812_CG_12_twilight,CGMP_201812_CG_1_day,CGMP_201812_CG_1_night,CGMP_201812_CG_1_twilight,CGMP_201812_CG_2_day,CGMP_201812_CG_2_night,CGMP_201812_CG_2_twilight,CGMP_201904_CG_5_day,CGMP_201904_CG_5_night,CGMP_201904_CG_5_twilight,CGMP_201904_CG_6_day,CGMP_201904_CG_6_night,CGMP_201904_CG_6_twilight,DAMPIER_202009_DNE_10_day,DAMPIER_202009_DNE_10_night,DAMPIER_202009_DNE_10_twilight,DAMPIER_202009_DNE_9_day,DAMPIER_202009_DNE_9_night,DAMPIER_202009_DNE_9_twilight,GEOGRAPHE_202201_GEO_1_day,GEOGRAPHE_202201_GEO_1_night,GEOGRAPHE_202201_GEO_1_twilight,GEOGRAPHE_202201_GEO_2_day,GEOGRAPHE_202201_GEO_2_night,GEOGRAPHE_202201_GEO_2_twilight,GEOGRAPHE_202201_GEO_3_day,GEOGRAPHE_202201_GEO_3_night,GEOGRAPHE_202201_GEO_3_twilight,JURIEN_202201_JNE_1_day,JURIEN_202201_JNE_1_night,JURIEN_202201_JNE_1_twilight,JURIEN_202201_JNE_2_day,JURIEN_202201_JNE_2_night,JURIEN_202201_JNE_2_twilight,MURAT_202002_MRE_2_day,MURAT_202002_MRE_2_night,MURAT_202002_MRE_2_twilight,MURAT_202002_MRE_3_day,MURAT_202002_MRE_3_night,MURAT_202002_MRE_3_twilight,MURAT_202002_MRE_4_day,MURAT_202002_MRE_4_night,MURAT_202002_MRE_4_twilight,NINGALOO_201909_NGN_10_day,NINGALOO_201909_NGN_10_night,NINGALOO_201909_NGN_10_twilight,NINGALOO_201909_NGN_11_day,NINGALOO_201909_NGN_11_night,NINGALOO_201909_NGN_11_twilight,SIMP_201808_WP_8_day,SIMP_201808_WP_8_night,SIMP_201808_WP_8_twilight,SIMP_201812_WP_12_day,SIMP_201812_WP_12_night,SIMP_201812_WP_12_twilight,SIMP_201906_WP_6_day,SIMP_201906_WP_6_night,SIMP_201906_WP_6_twilight,SIMP_201906_WP_7_day,SIMP_201906_WP_7_night,SIMP_201906_WP_7_twilight,SWC_202201_SWS_2_day,SWC_202201_SWS_2_night,SWC_202201_SWS_2_twilight,SWC_202201_SWS_3_day,SWC_202201_SWS_3_night,SWC_202201_SWS_3_twilight,TWOROCKS_202105_TRW_5_day,TWOROCKS_202105_TRW_5_night,TWOROCKS_202105_TRW_5_twilight,TWOROCKS_202105_TRW_6_day,TWOROCKS_202105_TRW_6_night,TWOROCKS_202105_TRW_6_twilight,TWOROCKS_202105_TRW_7_day,TWOROCKS_202105_TRW_7_night,TWOROCKS_202105_TRW_7_twilight
CGMP_201807_CG_7_day,0,0.012189964656601692,0.0054413513139494355,0.007661232793017195,0.008641542870181648,0.007459780061546172,0.004726554292089562,0.00786160576214382,0.006920405408560097,0.005792407469926837,0.010563772611843408,0.008776973312130102,0.005839707124800608,0.010816515047329386,0.008122549747795157,0.011925050938315657,0.014984211622865232,0.012209786809346097,0.01915135682423952,0.01887047060353155,0.01950057971235145,0.02593742777936638,0.020430397985126466,0.021662764917964313,0.020407810244896674,0.024609273293225705,0.02075553795354953,0.022129737488361344,0.032866478958595395,0.02851292288528063,0.02430229047730484,0.0410512422536037,0.033519913168366146,0.05946006504738946,0.05943988693273416,0.060689082615622766,0.058463818761862026,0.05893083097702342,0.06047266692021427,0.021203130880722454,0.02229743248398905,0.02829696896014153,0.022346743967600516,0.022973799284252014,0.03188688214398254,0.020303749115192348,0.019467791937725232,0.02863674294975147,0.04511742309015719,0.051214613395105524,0.05997649287819796,0.03984777036865948,0.048965432650463776,0.05385338414270483,0.01541792844562573,0.015123368485790389,0.011849923765094634,0.028748427258576167,0.02746635216237924,0.020272002902727872,0.012203464661441933,0.012534912161495926,0.010675911772572374,0.011866011980651965,0.011812323528399891,0.008581011817398768,0.05798937315739842,0.05684716220520227,0.05653400018364163,0.056123735339625364,0.054984373907379806,0.056719705177725684,0.01992223526666598,0.01757093164809627,0.017868967442320662,0.02053274117788047,0.016812549931124136,0.017792043017953264,0.028839124013662343,0.023428048273805145,0.02228898817891739
CGMP_201807_CG_7_night,0.012189964656601692,0,0.008139651746454705,0.011894958899949692,0.0124765370361567,0.012235341672283186,0.014319807512898679,0.017635244814430986,0.014945631389259483,0.01636873315504876,0.019308039056329176,0.016964867586104562,0.01519815981458137,0.010490079202458364,0.014419365631915097,0.010084422978786029,0.008032192582425777,0.008577826307790175,0.020513421719001643,0.018271327152215938,0.01914918004897631,0.027138000465374502,0.021022971447316848,0.023755816022025814,0.0214855649568508,0.027856970694698197,0.023936206446867662,0.026165214804456337,0.03660283755723546,0.032670681643738333,0.027798190175554034,0.044518573742804275,0.0372549011134303,0.051131956449115945,0.051105357513323305,0.0523096430163428,0.050171936235838335,0.050622702488539284,0.05212368770501363,0.015611306084839535,0.016611332497853907,0.02290316480962093,0.017004353583348616,0.017292493447907918,0.026374814835375324,0.016346642191246843,0.014944996455022726,0.023982942105885995,0.03706117082182657,0.04330958207369252,0.05345693905725617,0.03324498533019624,0.04140502351116209,0.048402889256550265,0.019803999150596597,0.019909185837638732,0.015235522895439134,0.03766095264616669,0.03633487260907269,0.02086775377206344,0.02099962823116426,0.021460293223002722,0.018004614406103285,0.018127350888489994,0.017866142842237472,0.01263180124056959,0.049640819826717635,0.0484523401395582,0.04810790526773351,0.04775919173980407,0.0465833605612101,0.048305042168492775,0.015349500798613209,0.016252907968113014,0.017782624907197793,0.017549490197188985,0.017394296308581515,0.017985843370301898,0.02239394007898496,0.01743033505694803,0.016453578248361814
CGMP_201807_CG_7_twilight,0.0054413513139494355,0.008139651746454705,0,0.007681044564171768,0.007086274001900845,0.005988232311416247,0.007028474329676091,0.01000451873479657,0.0072530698895845,0.009051555009267203,0.012076122607189906,0.00970919076090478,0.008359484254073932,0.007865709921293063,0.007174730414978404,0.010630395039913726,0.01136617275197937,0.009370621254250276,0.018411237101637303,0.016971864384553847,0.017509564142533917,0.02568365590282108,0.019237106008271932,0.02150066633654151,0.020887758620593146,0.024865880001859252,0.021038877561703983,0.02310707690305386,0.03351510479161607,0.029358946927124343,0.02494369154399171,0.041800863095500324,0.03407537121877658,0.05785179836236456,0.057829844084254046,0.05908248537493755,0.05685465801562933,0.057324661171468456,0.05886737768036228,0.020339329869048805,0.021331613852268755,0.02722066615957549,0.021555240495662015,0.022041343304899572,0.03077307433489064,0.019674903272707978,0.018612008912428608,0.027956057929215194,0.043440408905126376,0.04946231896276938,0.057902969414266904,0.03811614794864388,0.047136133222220315,0.05241881885255613,0.017217098600869687,0.01687003491685471,0.013044259707457649,0.03229409895870601,0.030969441076295012,0.018837840660545706,0.015578788612560842,0.015818806990444707,0.01276060269652429,0.014540104733911206,0.014110757760347257,0.009314942720826041,0.05638325612200867,0.05525161211230845,0.05494258561675743,0.05452166327837138,0.05339499380904863,0.05514002350171536,0.018826210570516862,0.01642041336914633,0.017685455837200555,0.020278237639259702,0.01708746456305616,0.017952975915530568,0.027693419149868913,0.022323241681799947,0.02115215936914222
CGMP_201812_CG_1_day,0.004726554292089562,0.014319807512898679,0.007028474329676091,0.00619784304131709,0.005417419052967327,0.004705794977130773,0,0.005916137322309961,0.005166110883148313,0.0035785099707513093,0.009100357819637013,0.00738913861199159,0.0047295767601639735,0.009486867936469827,0.005729568433726631,0.012553414115961264,0.01576860013005703,0.01271714960134265,0.016124232567492167,0.01586438186694466,0.016114444640697,0.02375111864726295,0.018318116627669443,0.018933776616708555,0.022181031583230103,0.025258149242686035,0.022095365618858134,0.02322793829451318,0.03292445992496503,0.028662193776455694,0.02559199556336823,0.04124408042329554,0.033570877948764094,0.060163742751747566,0.060172293071907516,0.06146232848765147,0.059161447308423085,0.05964439484462654,0.06118411747955294,0.021448626912288344,0.022327834420486914,0.02851152895503597,0.022754206059271576,0.023088548219219355,0.0324042635588569,0.02129586277106263,0.020028221170943775,0.029225172899645626,0.04569914369064106,0.0518189519631069,0.06061657628756198,0.0402680589735339,0.04940644971758849,0.05415641936385734,0.016651459036077176,0.01610740519632852,0.013153115468098485,0.028452445510413836,0.027013186463210565,0.02103434301014178,0.013341774828898605,0.012935072267720372,0.0121751294416239,0.013368009738724502,0.013153283110934692,0.010038759867214916,0.05878875573718135,0.05772855781761037,0.05746513733228657,0.05694037821080517,0.0559023383459199,0.05763181179536249,0.021532714018701073,0.01778834244112084,0.01798564023634352,0.02226248283004272,0.016998371366370793,0.018150445471052375,0.029651543039672938,0.024683646472443005,0.023566847944685023
CGMP_201812_CG_1_night,0.00786160576214382,0.017635244814430986,0.01000451873479657,0.011780749657497374,0.007539000029801327,0.00792932327687756,0.005916137322309961,0,0.0035853675954733376,0.006821047607025513,0.00650206228656548,0.00654729962729335,0.008263913717340218,0.010569225378423159,0.006957714428438736,0.017791000208865176,0.019875779322582936,0.01725750810472384,0.018782469414610332,0.01868808167172549,0.01748796552966713,0.026924532422402295,0.021811230474939703,0.021749242867295397,0.022421674770024998,0.022587114585939393,0.02101147694488292,0.022326627420852486,0.028303892661213883,0.02497090742222625,0.02446057776125676,0.03543670762546986,0.029011475046927512,0.06540909520893168,0.06540893596828624,0.06667159008355066,0.06437714905124736,0.06484647767678028,0.0663946740539526,0.026020484408198777,0.027249992911139224,0.032145069751906896,0.02706427941425495,0.027926578126696452,0.03517011891956242,0.02428834090600991,0.023255302684050266,0.031438501911708903,0.051009057220626014,0.05720155578946348,0.06587444523897168,0.04580266907900959,0.054963127594590745,0.05910022966388156,0.01925538241303591,0.017949780674134788,0.01499045834687416,0.023802108120620454,0.022521245185518575,0.01930885813244251,0.013794744684214103,0.012512186596951783,0.012410166905439564,0.016199791470023563,0.016059443437720256,0.012070369902109147,0.06394580342417164,0.06287829296379825,0.06260409479916496,0.06209605664189279,0.061038835888319945,0.06276913623449439,0.02337210260371142,0.019030759750414385,0.019137280437930834,0.023968063224757787,0.018146243831770822,0.01920166767740844,0.03411106269988046,0.02862590279365824,0.027288861831362317
CGMP_201812_CG_1_twilight,0.006920405408560097,0.014945631389259483,0.0072530698895845,0.010067566571416248,0.006006511334355028,0.006076616785436482,0.005166110883148313,0.0035853675954733376,0,0.006242761515922462,0.007648924140801286,0.005313172534137538,0.007905740312669152,0.009002230977269559,0.0049005815732023885,0.01582371056055232,0.0174967378101001,0.015137613278096209,0.01878029051017849,0.0179129921275998,0.017589807875670476,0.026904536765699903,0.02098922560057903,0.021991699962980345,0.021651956228009597,0.022144560390444906,0.02057312742057857,0.02202723734220982,0.02883775470319731,0.02507272408472439,0.02408520629228607,0.036807125343831106,0.029514260785023328,0.06363863556470299,0.06362406164863202,0.06489642366064069,0.06263706961653923,0.06311240929377028,0.06465788440814327,0.02437436729897672,0.02550839465487243,0.0309688168286942,0.025496723778347788,0.026187642713866564,0.03429139492711663,0.023227490973552735,0.022201386867496245,0.030868395113332156,0.04919361220465767,0.05525088853716712,0.0638607043128662,0.04393020599963874,0.05305425522040143,0.057316007653532876,0.018426023873507526,0.01716640592532317,0.014267149944936112,0.026357374895623113,0.02499096189933727,0.018071411544237907,0.013968941921395587,0.012865577190966636,0.011720685215366117,0.016099490762854392,0.015518282100071838,0.011326443127053241,0.06221197822754669,0.061118000885039006,0.06082998972288323,0.06036293607855964,0.05928006879204598,0.0610243956499848,0.022548488332880607,0.01817546691101291,0.01848070177406278,0.023197416842970303,0.01766681521709213,0.018832532191234576,0.03250906119011747,0.027056194704427213,0.025739481313066064
CGMP_201812_CG_12_day,0.007661232793017195,0.011894958899949692,0.007681044564171768,0,0.005822413138822318,0.0051777354566621145,0.00619784304131709,0.011780749657497374,0.010067566571416248,0.008498683162674974,0.013930547750984628,0.01216751383902399,0.008312788782981839,0.00954880137075846,0.009732465524187748,0.007914490277826937,0.011718276209959666,0.008433092885896052,0.013649245594920952,0.012503171987030912,0.014198157477663571,0.021474280053440674,0.015159383017270621,0.016677339776682332,0.02295484360635573,0.028894027282557442,0.024873665684358375,0.02595169730315328,0.03793575795079963,0.03351935895311546,0.028287150340374,0.04626561483989784,0.03853308022136354,0.05447980776078116,0.05445817857900429,0.05584128659640041,0.05351117449932893,0.053927102680204626,0.0554362602075307,0.017690724393096526,0.01797973402902682,0.024999444365560456,0.019415944420691545,0.018893655622366178,0.029345647963639174,0.018756173726755095,0.01691727258825693,0.02717050519807178,0.040061190691193904,0.04603124265237354,0.05544429432718661,0.0345878497495754,0.04380956443158104,0.04933967190787131,0.018681469570383972,0.018310128706956454,0.014878493286047092,0.033908439583475364,0.0323257957904038,0.023228127750938878,0.017309018954035103,0.01728216134963025,0.01618116045230872,0.015131871193677579,0.01483001897272784,0.011529271058610563,0.053304856386873795,0.05239269661706419,0.05222406758985641,0.05147905146843486,0.05073100965407925,0.05234053069544945,0.01933749404011599,0.017113565422102,0.01833650225320038,0.020485006309868527,0.017624545888953097,0.018721126854932775,0.025572863622567374,0.021221835694346474,0.020178429121510473
CGMP_201812_CG_12_night,0.008641542870181648,0.0124765370361567,0.007086274001900845,0.005822413138822318,0,0.002294119680909613,0.005417419052967327,0.007539000029801327,0.006006511334355028,0.008349504299609161,0.01222395504331999,0.010166104118275336,0.008910960038010826,0.005931985657721432,0.006983629011489061,0.010976424745095695,0.0137102855087652,0.010885745799186095,0.014861651201284399,0.012916722536755803,0.0128524183790816,0.023329262433445342,0.017297804213587946,0.01809468870024436,0.021259604976742723,0.024464655314802148,0.022273402002908515,0.023246864453224877,0.03271005279959865,0.02834548309466082,0.0255317384323857,0.04102503718712888,0.03324781905586898,0.05826480454130554,0.05829176073096227,0.05962165886177468,0.05727813473880703,0.05772732147675333,0.059255558468451326,0.019769006481592726,0.02061927586319632,0.025820643202922034,0.021041017270413742,0.021433410919624012,0.029524563416583806,0.019176025370286745,0.017478577790330612,0.026567561391851544,0.04382540455120146,0.05002209293714669,0.05871591223836188,0.03847803380241007,0.047715398245445635,0.05211926704652048,0.019695518586600635,0.018612686464640635,0.015383935534819274,0.029965358364755067,0.028519732395276894,0.019027497485003868,0.01588643109491004,0.014889592411965727,0.01420150990741897,0.01656920352908955,0.016238733777592947,0.011974990018630425,0.057030010620338065,0.05601649476322171,0.05579338771200289,0.05518991393892376,0.054234325705367965,0.055951519507128074,0.019040749063347722,0.015158232451109126,0.016290779768540622,0.020272112613401894,0.015864233142633615,0.017030879836607067,0.027951256751481277,0.022781367138601696,0.021554802798422805
CGMP_201812_CG_12_twilight,0.007459780061546172,0.012235341672283186,0.005988232311416247,0.0051777354566621145,0.002294119680909613,0,0.004705794977130773,0.00792932327687756,0.006076616785436482,0.007175233895225541,0.011624013533145183,0.009464436707877515,0.007342107199991296,0.006473943175840748,0.006518221861733018,0.010646094174692965,0.013209535611726334,0.010337583661278741,0.015630458974829124,0.013727759435021017,0.014294647978160808,0.0236319043266506,0.01738587026301463,0.01870949745727909,0.02153200227501129,0.024832956637495948,0.022272601868363946,0.02332542083947422,0.033438193458060955,0.029082794862730535,0.02557288108903728,0.04175237094133403,0.03397762448472524,0.05815694828156835,0.05818660453660068,0.0595347059126107,0.05721169744843148,0.057635511448541656,0.05916670440258124,0.020151736134474515,0.02083292045985643,0.026933909500800546,0.02162228060724986,0.02167490077419693,0.030655523904681573,0.019972429011722217,0.01839111431349901,0.027646988746773314,0.043730156924653193,0.04984487393829287,0.05849697123313181,0.03821884547369446,0.04745139198845515,0.05198839048117052,0.018692189347269784,0.017759874769690445,0.014630219634866909,0.03088314391449798,0.029433737556993394,0.019294563020359565,0.015437670171379925,0.014963797599177688,0.013796915310979228,0.01597482413381093,0.015277134208457496,0.011315330633836145,0.05697811303115439,0.05598072373361426,0.05576661675669989,0.05514384796172166,0.05423148829610602,0.05592394305582637,0.019720745813623597,0.015784954900279105,0.016838933692990426,0.020908666914920385,0.016212570456412844,0.017557656625898213,0.02816989009447709,0.02306134976266271,0.021816050208704335
CGMP_201812_CG_2_day,0.005792407469926837,0.01636873315504876,0.009051555009267203,0.008498683162674974,0.008349504299609161,0.007175233895225541,0.0035785099707513093,0.006821047607025513,0.006242761515922462,0,0.006150626743442562,0.00558642953539642,0.004120403674294795,0.011473967602765959,0.006345998804901293,0.014052809924018602,0.017551351274122565,0.014285848591354318,0.017579408453243402,0.01817059906308677,0.018319130925495072,0.02331709566225899,0.019167420995665617,0.018850948055528397,0.02429478571469161,0.026272302062446354,0.023527216241939906,0.024564386083414304,0.03321130521649798,0.02912126449848267,0.026731592349835798,0.04143541766892913,0.033903188215563373,0.06193293446722488,0.061972310536625996,0.06325499909776561,0.06079464027007558,0.06121211997312793,0.0628261316448632,0.02405267696538789,0.024852392745029563,0.03156861134853154,0.025472122607044304,0.025659742507128668,0.03547593578985319,0.024021256010036667,0.02282149611368148,0.03210450322200265,0.04749657083476287,0.053712636510972425,0.06265006121435714,0.04193248921153605,0.0510192659124852,0.05659241761947097,0.015072406113225769,0.014477365877615065,0.011868060165474951,0.027752216267240136,0.026285123911751838,0.02258295206145635,0.012190079097814778,0.011744110669380506,0.011066779458960478,0.011903544933619364,0.01175999405559503,0.01014021544517382,0.060426976683709874,0.05941427612149153,0.059165494458863974,0.05858398505052191,0.057608363510686746,0.059313855833365944,0.024265142334376044,0.02027248583475612,0.020358024787657265,0.024927802926046204,0.01920458195143822,0.02039263134525967,0.03190546979540767,0.02705740560184405,0.026021592782166664
