height_cm,YYYYMMDD,hhmm/
115,20190912,1400/
85,20190912,1500/
66,20190912,1600/
64,20190912,1700/
75,20190912,1800/
100,20190912,1900/
131,20190912,2000/
162,20190912,2100/
185,20190912,2200/
192,20190912,2300/
189,20190913,0000/
170,20190913,0100/
143,20190913,0200/
114,20190913,0300/
92,20190913,0400/
87,20190913,0500/
99,20190913,0600/
120,20190913,0700/
153,20190913,0800/
185,20190913,0900/
208,20190913,1000/
216,20190913,1100/
204,20190913,1200/
179,20190913,1300/
142,20190913,1400/
101,20190913,1500/
71,20190913,1600/
56,20190913,1700/
60,20190913,1800/
81,20190913,1900/
115,20190913,2000/
153,20190913,2100/
186,20190913,2200/
206,20190913,2300/
207,20190914,0000/
191,20190914,0100/
158,20190914,0200/
118,20190914,0300/
89,20190914,0400/
73,20190914,0500/
79,20190914,0600/
99,20190914,0700/
132,20190914,0800/
170,20190914,0900/
202,20190914,1000/
219,20190914,1100/
219,20190914,1200/
201,20190914,1300/
167,20190914,1400/
122,20190914,1500/
82,20190914,1600/
57,20190914,1700/
51,20190914,1800/
68,20190914,1900/
100,20190914,2000/
141,20190914,2100/
181,20190914,2200/
208,20190914,2300/
217,20190915,0000/
205,20190915,0100/
180,20190915,0200/
141,20190915,0300/
100,20190915,0400/
74,20190915,0500/
68,20190915,0600/
79,20190915,0700/
107,20190915,0800/
146,20190915,0900/
186,20190915,1000/
214,20190915,1100/
226,20190915,1200/
218,20190915,1300/
187,20190915,1400/
146,20190915,1500/
98,20190915,1600/
65,20190915,1700/
51,20190915,1800/
58,20190915,1900/
87,20190915,2000/
127,20190915,2100/
172,20190915,2200/
207,20190915,2300/
223,20190916,0000/
220,20190916,0100/
199,20190916,0200/
161,20190916,0300/
114,20190916,0400/
77,20190916,0500/
60,20190916,0600/
64,20190916,0700/
87,20190916,0800/
124,20190916,0900/
169,20190916,1000/
208,20190916,1100/
226,20190916,1200/
226,20190916,1300/
205,20190916,1400/
169,20190916,1500/
120,20190916,1600/
79,20190916,1700/
57,20190916,1800/
56,20190916,1900/
77,20190916,2000/
114,20190916,2100/
159,20190916,2200/
199,20190916,2300/
224,20190917,0000/
229,20190917,0100/
214,20190917,0200/
179,20190917,0300/
131,20190917,0400/
86,20190917,0500/
58,20190917,0600/
52,20190917,0700/
68,20190917,0800/
101,20190917,0900/
145,20190917,1000/
187,20190917,1100/
216,20190917,1200/
224,20190917,1300/
215,20190917,1400/
184,20190917,1500/
140,20190917,1600/
96,20190917,1700/
66,20190917,1800/
58,20190917,1900/
70,20190917,2000/
102,20190917,2100/
142,20190917,2200/
185,20190917,2300/
217,20190918,0000/
229,20190918,0100/
222,20190918,0200/
193,20190918,0300/
149,20190918,0400/
101,20190918,0500/
63,20190918,0600/
46,20190918,0700/
52,20190918,0800/
78,20190918,0900/
116,20190918,1000/
161,20190918,1100/
198,20190918,1200/
216,20190918,1300/
213,20190918,1400/
194,20190918,1500/
156,20190918,1600/
110,20190918,1700/
73,20190918,1800/
58,20190918,1900/
62,20190918,2000/
86,20190918,2100/
124,20190918,2200/
168,20190918,2300/
203,20190919,0000/
221,20190919,0100/
221,20190919,0200/
200,20190919,0300/
163,20190919,0400/
116,20190919,0500/
76,20190919,0600/
51,20190919,0700/
42,20190919,0800/
58,20190919,0900/
88,20190919,1000/
127,20190919,1100/
167,20190919,1200/
193,20190919,1300/
201,20190919,1400/
191,20190919,1500/
164,20190919,1600/
128,20190919,1700/
86,20190919,1800/
62,20190919,1900/
59,20190919,2000/
78,20190919,2100/
108,20190919,2200/
142,20190919,2300/
178,20190920,0000/
201,20190920,0100/
212,20190920,0200/
204,20190920,0300/
177,20190920,0400/
137,20190920,0500/
94,20190920,0600/
60,20190920,0700/
45,20190920,0800/
47,20190920,0900/
70,20190920,1000/
105,20190920,1100/
143,20190920,1200/
176,20190920,1300/
190,20190920,1400/
188,20190920,1500/
172,20190920,1600/
141,20190920,1700/
105,20190920,1800/
80,20190920,1900/
75,20190920,2000/
87,20190920,2100/
114,20190920,2200/
148,20190920,2300/
182,20190921,0000/
206,20190921,0100/
216,20190921,0200/
212,20190921,0300/
193,20190921,0400/
161,20190921,0500/
121,20190921,0600/
88,20190921,0700/
68,20190921,0800/
65,20190921,0900/
75,20190921,1000/
101,20190921,1100/
134,20190921,1200/
163,20190921,1300/
182,20190921,1400/
185,20190921,1500/
176,20190921,1600/
157,20190921,1700/
128,20190921,1800/
106,20190921,1900/
93,20190921,2000/
97,20190921,2100/
113,20190921,2200/
138,20190921,2300/
169,20190922,0000/
198,20190922,0100/
216,20190922,0200/
220,20190922,0300/
209,20190922,0400/
186,20190922,0500/
150,20190922,0600/
116,20190922,0700/
89,20190922,0800/
76,20190922,0900/
78,20190922,1000/
91,20190922,1100/
114,20190922,1200/
138,20190922,1300/
157,20190922,1400/
167,20190922,1500/
168,20190922,1600/
157,20190922,1700/
141,20190922,1800/
121,20190922,1900/
108,20190922,2000/
106,20190922,2100/
115,20190922,2200/
130,20190922,2300/
155,20190923,0000/
178,20190923,0100/
196,20190923,0200/
205,20190923,0300/
203,20190923,0400/
189,20190923,0500/
167,20190923,0600/
139,20190923,0700/
114,20190923,0800/
97,20190923,0900/
89,20190923,1000/
90,20190923,1100/
99,20190923,1200/
114,20190923,1300/
129,20190923,1400/
141,20190923,1500/
150,20190923,1600/
150,20190923,1700/
145,20190923,1800/
136,20190923,1900/
128,20190923,2000/
123,20190923,2100/
122,20190923,2200/
129,20190923,2300/
142,20190924,0000/
159,20190924,0100/
172,20190924,0200/
185,20190924,0300/
191,20190924,0400/
190,20190924,0500/
179,20190924,0600/
162,20190924,0700/
144,20190924,0800/
126,20190924,0900/
110,20190924,1000/
100,20190924,1100/
94,20190924,1200/
101,20190924,1300/
104,20190924,1400/
116,20190924,1500/
127,20190924,1600/
137,20190924,1700/
142,20190924,1800/
142,20190924,1900/
142,20190924,2000/
140,20190924,2100/
137,20190924,2200/
137,20190924,2300/
139,20190925,0000/
143,20190925,0100/
152,20190925,0200/
161,20190925,0300/
170,20190925,0400/
178,20190925,0500/
182,20190925,0600/
181,20190925,0700/
176,20190925,0800/
161,20190925,0900/
143,20190925,1000/
123,20190925,1100/
107,20190925,1200/
95,20190925,1300/
90,20190925,1400/
92,20190925,1500/
103,20190925,1600/
118,20190925,1700/
134,20190925,1800/
150,20190925,1900/
161,20190925,2000/
164,20190925,2100/
162,20190925,2200/
152,20190925,2300/
139,20190926,0000/
130,20190926,0100/
128,20190926,0200/
131,20190926,0300/
141,20190926,0400/
154,20190926,0500/
169,20190926,0600/
183,20190926,0700/
190,20190926,0800/
188,20190926,0900/
176,20190926,1000/
155,20190926,1100/
132,20190926,1200/
106,20190926,1300/
84,20190926,1400/
73,20190926,1500/
74,20190926,1600/
85,20190926,1700/
107,20190926,1800/
135,20190926,1900/
159,20190926,2000/
173,20190926,2100/
177,20190926,2200/
169,20190926,2300/
154,20190927,0000/
129,20190927,0100/
108,20190927,0200/
96,20190927,0300/
96,20190927,0400/
108,20190927,0500/
129,20190927,0600/
159,20190927,0700/
186,20190927,0800/
203,20190927,0900/
206,20190927,1000/
195,20190927,1100/
169,20190927,1200/
131,20190927,1300/
94,20190927,1400/
65,20190927,1500/
51,20190927,1600/
55,20190927,1700/
76,20190927,1800/
106,20190927,1900/
143,20190927,2000/
173,20190927,2100/
189,20190927,2200/
190,20190927,2300/
177,20190928,0000/
150,20190928,0100/
113,20190928,0200/
81,20190928,0300/
64,20190928,0400/
66,20190928,0500/
85,20190928,0600/
118,20190928,0700/
159,20190928,0800/
194,20190928,0900/
213,20190928,1000/
218,20190928,1100/
201,20190928,1200/
166,20190928,1300/
121,20190928,1400/
75,20190928,1500/
46,20190928,1600/
38,20190928,1700/
52,20190928,1800/
82,20190928,1900/
123,20190928,2000/
167,20190928,2100/
