height_cm,YYYYMMDD,hhmm/
102,20191028,1900/
147,20191028,2000/
198,20191028,2100/
234,20191028,2200/
252,20191028,2300/
245,20191029,0000/
214,20191029,0100/
164,20191029,0200/
106,20191029,0300/
58,20191029,0400/
27,20191029,0500/
20,20191029,0600/
41,20191029,0700/
82,20191029,0800/
136,20191029,0900/
186,20191029,1000/
221,20191029,1100/
234,20191029,1200/
221,20191029,1300/
188,20191029,1400/
139,20191029,1500/
91,20191029,1600/
62,20191029,1700/
60,20191029,1800/
83,20191029,1900/
124,20191029,2000/
178,20191029,2100/
227,20191029,2200/
256,20191029,2300/
263,20191030,0000/
247,20191030,0100/
206,20191030,0200/
147,20191030,0300/
89,20191030,0400/
41,20191030,0500/
18,20191030,0600/
22,20191030,0700/
48,20191030,0800/
94,20191030,0900/
152,20191030,1000/
200,20191030,1100/
-9999,20191030,1200/
-9999,20191030,1300/
-9999,20191030,1400/
-9999,20191030,1500/
-9999,20191030,1600/
-9999,20191030,1700/
62,20191030,1800/
71,20191030,1900/
103,20191030,2000/
148,20191030,2100/
199,20191030,2200/
239,20191030,2300/
260,20191031,0000/
258,20191031,0100/
230,20191031,0200/
179,20191031,0300/
117,20191031,0400/
63,20191031,0500/
25,20191031,0600/
13,20191031,0700/
25,20191031,0800/
62,20191031,0900/
112,20191031,1000/
165,20191031,1100/
203,20191031,1200/
224,20191031,1300/
219,20191031,1400/
193,20191031,1500/
149,20191031,1600/
99,20191031,1700/
68,20191031,1800/
64,20191031,1900/
82,20191031,2000/
116,20191031,2100/
159,20191031,2200/
203,20191031,2300/
232,20191101,0000/
240,20191101,0100/
225,20191101,0200/
191,20191101,0300/
143,20191101,0400/
88,20191101,0500/
42,20191101,0600/
16,20191101,0700/
13,20191101,0800/
33,20191101,0900/
73,20191101,1000/
120,20191101,1100/
161,20191101,1200/
188,20191101,1300/
198,20191101,1400/
188,20191101,1500/
161,20191101,1600/
120,20191101,1700/
84,20191101,1800/
67,20191101,1900/
71,20191101,2000/
94,20191101,2100/
127,20191101,2200/
168,20191101,2300/
202,20191102,0000/
218,20191102,0100/
221,20191102,0200/
203,20191102,0300/
165,20191102,0400/
116,20191102,0500/
67,20191102,0600/
33,20191102,0700/
18,20191102,0800/
24,20191102,0900/
52,20191102,1000/
92,20191102,1100/
134,20191102,1200/
169,20191102,1300/
186,20191102,1400/
186,20191102,1500/
170,20191102,1600/
140,20191102,1700/
105,20191102,1800/
83,20191102,1900/
80,20191102,2000/
93,20191102,2100/
119,20191102,2200/
151,20191102,2300/
182,20191103,0000/
204,20191103,0100/
210,20191103,0200/
202,20191103,0300/
180,20191103,0400/
144,20191103,0500/
102,20191103,0600/
68,20191103,0700/
46,20191103,0800/
43,20191103,0900/
58,20191103,1000/
87,20191103,1100/
123,20191103,1200/
155,20191103,1300/
176,20191103,1400/
183,20191103,1500/
176,20191103,1600/
156,20191103,1700/
129,20191103,1800/
108,20191103,1900/
98,20191103,2000/
104,20191103,2100/
123,20191103,2200/
148,20191103,2300/
178,20191104,0000/
200,20191104,0100/
210,20191104,0200/
206,20191104,0300/
191,20191104,0400/
164,20191104,0500/
132,20191104,0600/
104,20191104,0700/
84,20191104,0800/
73,20191104,0900/
77,20191104,1000/
93,20191104,1100/
115,20191104,1200/
140,20191104,1300/
162,20191104,1400/
172,20191104,1500/
175,20191104,1600/
166,20191104,1700/
152,20191104,1800/
135,20191104,1900/
121,20191104,2000/
118,20191104,2100/
125,20191104,2200/
137,20191104,2300/
156,20191105,0000/
175,20191105,0100/
186,20191105,0200/
188,20191105,0300/
182,20191105,0400/
169,20191105,0500/
151,20191105,0600/
128,20191105,0700/
109,20191105,0800/
97,20191105,0900/
93,20191105,1000/
96,20191105,1100/
108,20191105,1200/
122,20191105,1300/
139,20191105,1400/
152,20191105,1500/
160,20191105,1600/
161,20191105,1700/
159,20191105,1800/
148,20191105,1900/
140,20191105,2000/
131,20191105,2100/
130,20191105,2200/
132,20191105,2300/
143,20191106,0000/
154,20191106,0100/
163,20191106,0200/
169,20191106,0300/
169,20191106,0400/
165,20191106,0500/
159,20191106,0600/
146,20191106,0700/
135,20191106,0800/
124,20191106,0900/
115,20191106,1000/
111,20191106,1100/
111,20191106,1200/
115,20191106,1300/
126,20191106,1400/
136,20191106,1500/
148,20191106,1600/
158,20191106,1700/
166,20191106,1800/
167,20191106,1900/
164,20191106,2000/
159,20191106,2100/
151,20191106,2200/
145,20191106,2300/
140,20191107,0000/
144,20191107,0100/
148,20191107,0200/
152,20191107,0300/
158,20191107,0400/
166,20191107,0500/
168,20191107,0600/
164,20191107,0700/
161,20191107,0800/
152,20191107,0900/
143,20191107,1000/
134,20191107,1100/
128,20191107,1200/
122,20191107,1300/
123,20191107,1400/
128,20191107,1500/
138,20191107,1600/
152,20191107,1700/
166,20191107,1800/
178,20191107,1900/
183,20191107,2000/
183,20191107,2100/
176,20191107,2200/
162,20191107,2300/
146,20191108,0000/
135,20191108,0100/
129,20191108,0200/
128,20191108,0300/
135,20191108,0400/
145,20191108,0500/
155,20191108,0600/
165,20191108,0700/
171,20191108,0800/
170,20191108,0900/
161,20191108,1000/
149,20191108,1100/
132,20191108,1200/
118,20191108,1300/
109,20191108,1400/
109,20191108,1500/
118,20191108,1600/
132,20191108,1700/
151,20191108,1800/
171,20191108,1900/
189,20191108,2000/
194,20191108,2100/
189,20191108,2200/
174,20191108,2300/
155,20191109,0000/
129,20191109,0100/
112,20191109,0200/
101,20191109,0300/
103,20191109,0400/
114,20191109,0500/
130,20191109,0600/
151,20191109,0700/
170,20191109,0800/
181,20191109,0900/
179,20191109,1000/
166,20191109,1100/
147,20191109,1200/
126,20191109,1300/
107,20191109,1400/
96,20191109,1500/
99,20191109,1600/
113,20191109,1700/
135,20191109,1800/
163,20191109,1900/
187,20191109,2000/
200,20191109,2100/
203,20191109,2200/
189,20191109,2300/
167,20191110,0000/
137,20191110,0100/
112,20191110,0200/
90,20191110,0300/
84,20191110,0400/
88,20191110,0500/
107,20191110,0600/
133,20191110,0700/
162,20191110,0800/
180,20191110,0900/
187,20191110,1000/
185,20191110,1100/
170,20191110,1200/
144,20191110,1300/
116,20191110,1400/
96,20191110,1500/
91,20191110,1600/
101,20191110,1700/
124,20191110,1800/
155,20191110,1900/
187,20191110,2000/
210,20191110,2100/
219,20191110,2200/
211,20191110,2300/
191,20191111,0000/
157,20191111,0100/
118,20191111,0200/
86,20191111,0300/
67,20191111,0400/
65,20191111,0500/
78,20191111,0600/
105,20191111,0700/
141,20191111,0800/
174,20191111,0900/
193,20191111,1000/
201,20191111,1100/
192,20191111,1200/
168,20191111,1300/
134,20191111,1400/
101,20191111,1500/
84,20191111,1600/
85,20191111,1700/
104,20191111,1800/
136,20191111,1900/
175,20191111,2000/
206,20191111,2100/
223,20191111,2200/
224,20191111,2300/
206,20191112,0000/
174,20191112,0100/
130,20191112,0200/
88,20191112,0300/
58,20191112,0400/
49,20191112,0500/
55,20191112,0600/
78,20191112,0700/
116,20191112,0800/
155,20191112,0900/
188,20191112,1000/
205,20191112,1100/
203,20191112,1200/
187,20191112,1300/
153,20191112,1400/
115,20191112,1500/
87,20191112,1600/
78,20191112,1700/
90,20191112,1800/
118,20191112,1900/
156,20191112,2000/
195,20191112,2100/
225,20191112,2200/
235,20191112,2300/
227,20191113,0000/
199,20191113,0100/
154,20191113,0200/
105,20191113,0300/
63,20191113,0400/
41,20191113,0500/
39,20191113,0600/
58,20191113,0700/
93,20191113,0800/
137,20191113,0900/
177,20191113,1000/
202,20191113,1100/
213,20191113,1200/
203,20191113,1300/
175,20191113,1400/
134,20191113,1500/
98,20191113,1600/
80,20191113,1700/
82,20191113,1800/
106,20191113,1900/
142,20191113,2000/
185,20191113,2100/
221,20191113,2200/
242,20191113,2300/
242,20191114,0000/
222,20191114,0100/
181,20191114,0200/
128,20191114,0300/
79,20191114,0400/
44,20191114,0500/
31,20191114,0600/
39,20191114,0700/
67,20191114,0800/
108,20191114,0900/
153,20191114,1000/
188,20191114,1100/
208,20191114,1200/
209,20191114,1300/
190,20191114,1400/
153,20191114,1500/
114,20191114,1600/
85,20191114,1700/
80,20191114,1800/
93,20191114,1900/
127,20191114,2000/
167,20191114,2100/
207,20191114,2200/
236,20191114,2300/
247,20191115,0000/
234,20191115,0100/
201,20191115,0200/
153,20191115,0300/
98,20191115,0400/
54,20191115,0500/
29,20191115,0600/
28,20191115,0700/
42,20191115,0800/
78,20191115,0900/
125,20191115,1000/
167,20191115,1100/
195,20191115,1200/
205,20191115,1300/
197,20191115,1400/
171,20191115,1500/
132,20191115,1600/
94,20191115,1700/
77,20191115,1800/
81,20191115,1900/
108,20191115,2000/
145,20191115,2100/
187,20191115,2200/
223,20191115,2300/
241,20191116,0000/
238,20191116,0100/
214,20191116,0200/
171,20191116,0300/
120,20191116,0400/
70,20191116,0500/
37,20191116,0600/
21,20191116,0700/
27,20191116,0800/
52,20191116,0900/
92,20191116,1000/
139,20191116,1100/
176,20191116,1200/
196,20191116,1300/
197,20191116,1400/
180,20191116,1500/
149,20191116,1600/
110,20191116,1700/
85,20191116,1800/
77,20191116,1900/
95,20191116,2000/
126,20191116,2100/
166,20191116,2200/
205,20191116,2300/
232,20191117,0000/
242,20191117,0100/
229,20191117,0200/
195,20191117,0300/
148,20191117,0400/
101,20191117,0500/
60,20191117,0600/
35,20191117,0700/
28,20191117,0800/
43,20191117,0900/
76,20191117,1000/
117,20191117,1100/
159,20191117,1200/
187,20191117,1300/
196,20191117,1400/
191,20191117,1500/
169,20191117,1600/
133,20191117,1700/
102,20191117,1800/
87,20191117,1900/
92,20191117,2000/
115,20191117,2100/
148,20191117,2200/
183,20191117,2300/
212,20191118,0000/
230,20191118,0100/
233,20191118,0200/
213,20191118,0300/
179,20191118,0400/
132,20191118,0500/
92,20191118,0600/
58,20191118,0700/
45,20191118,0800/
48,20191118,0900/
70,20191118,1000/
100,20191118,1100/
142,20191118,1200/
172,20191118,1300/
190,20191118,1400/
194,20191118,1500/
181,20191118,1600/
156,20191118,1700/
126,20191118,1800/
104,20191118,1900/
99,20191118,2000/
114,20191118,2100/
140,20191118,2200/
168,20191118,2300/
197,20191119,0000/
220,20191119,0100/
229,20191119,0200/
218,20191119,0300/
193,20191119,0400/
160,20191119,0500/
126,20191119,0600/
97,20191119,0700/
75,20191119,0800/
68,20191119,0900/
74,20191119,1000/
92,20191119,1100/
123,20191119,1200/
152,20191119,1300/
176,20191119,1400/
186,20191119,1500/
186,20191119,1600/
171,20191119,1700/
147,20191119,1800/
125,20191119,1900/
112,20191119,2000/
111,20191119,2100/
123,20191119,2200/
144,20191119,2300/
168,20191120,0000/
190,20191120,0100/
202,20191120,0200/
205,20191120,0300/
194,20191120,0400/
175,20191120,0500/
148,20191120,0600/
117,20191120,0700/
92,20191120,0800/
75,20191120,0900/
70,20191120,1000/
77,20191120,1100/
94,20191120,1200/
121,20191120,1300/
146,20191120,1400/
165,20191120,1500/
174,20191120,1600/
173,20191120,1700/
165,20191120,1800/
151,20191120,1900/
132,20191120,2000/
121,20191120,2100/
120,20191120,2200/
126,20191120,2300/
137,20191121,0000/
154,20191121,0100/
171,20191121,0200/
183,20191121,0300/
186,20191121,0400/
182,20191121,0500/
170,20191121,0600/
151,20191121,0700/
129,20191121,0800/
109,20191121,0900/
95,20191121,1000/
90,20191121,1100/
95,20191121,1200/
110,20191121,1300/
130,20191121,1400/
150,20191121,1500/
168,20191121,1600/
177,20191121,1700/
181,20191121,1800/
175,20191121,1900/
162,20191121,2000/
149,20191121,2100/
136,20191121,2200/
128,20191121,2300/
127,20191122,0000/
135,20191122,0100/
143,20191122,0200/
156,20191122,0300/
167,20191122,0400/
175,20191122,0500/
177,20191122,0600/
171,20191122,0700/
159,20191122,0800/
140,20191122,0900/
122,20191122,1000/
106,20191122,1100/
98,20191122,1200/
99,20191122,1300/
109,20191122,1400/
125,20191122,1500/
146,20191122,1600/
168,20191122,1700/
184,20191122,1800/
191,20191122,1900/
190,20191122,2000/
177,20191122,2100/
158,20191122,2200/
138,20191122,2300/
121,20191123,0000/
112,20191123,0100/
111,20191123,0200/
119,20191123,0300/
132,20191123,0400/
148,20191123,0500/
164,20191123,0600/
177,20191123,0700/
178,20191123,0800/
172,20191123,0900/
157,20191123,1000/
136,20191123,1100/
114,20191123,1200/
100,20191123,1300/
98,20191123,1400/
105,20191123,1500/
124,20191123,1600/
149,20191123,1700/
176,20191123,1800/
199,20191123,1900/
211,20191123,2000/
209,20191123,2100/
193,20191123,2200/
165,20191123,2300/
133,20191124,0000/
105,20191124,0100/
87,20191124,0200/
83,20191124,0300/
89,20191124,0400/
108,20191124,0500/
132,20191124,0600/
158,20191124,0700/
178,20191124,0800/
186,20191124,0900/
181,20191124,1000/
166,20191124,1100/
143,20191124,1200/
116,20191124,1300/
96,20191124,1400/
91,20191124,1500/
101,20191124,1600/
123,20191124,1700/
154,20191124,1800/
188,20191124,1900/
215,20191124,2000/
228,20191124,2100/
223,20191124,2200/
201,20191124,2300/
166,20191125,0000/
125,20191125,0100/
89,20191125,0200/
67,20191125,0300/
60,20191125,0400/
67,20191125,0500/
90,20191125,0600/
124,20191125,0700/
158,20191125,0800/
185,20191125,0900/
199,20191125,1000/
196,20191125,1100/
177,20191125,1200/
147,20191125,1300/
112,20191125,1400/
88,20191125,1500/
85,20191125,1600/
100,20191125,1700/
132,20191125,1800/
171,20191125,1900/
210,20191125,2000/
236,20191125,2100/
241,20191125,2200/
231,20191125,2300/
201,20191126,0000/
156,20191126,0100/
106,20191126,0200/
67,20191126,0300/
41,20191126,0400/
37,20191126,0500/
52,20191126,0600/
87,20191126,0700/
131,20191126,0800/
172,20191126,0900/
202,20191126,1000/
213,20191126,1100/
205,20191126,1200/
180,20191126,1300/
142,20191126,1400/
105,20191126,1500/
84,20191126,1600/
86,20191126,1700/
110,20191126,1800/
147,20191126,1900/
191,20191126,2000/
231,20191126,2100/
256,20191126,2200/
257,20191126,2300/
237,20191127,0000/
198,20191127,0100/
144,20191127,0200/
90,20191127,0300/
48,20191127,0400/
27,20191127,0500/
31,20191127,0600/
57,20191127,0700/
96,20191127,0800/
147,20191127,0900/
187,20191127,1000/
211,20191127,1100/
215,20191127,1200/
203,20191127,1300/
171,20191127,1400/
128,20191127,1500/
93,20191127,1600/
81,20191127,1700/
89,20191127,1800/
120,20191127,1900/
163,20191127,2000/
210,20191127,2100/
245,20191127,2200/
261,20191127,2300/
258,20191128,0000/
229,20191128,0100/
181,20191128,0200/
123,20191128,0300/
74,20191128,0400/
35,20191128,0500/
20,20191128,0600/
29,20191128,0700/
64,20191128,0800/
108,20191128,0900/
159,20191128,1000/
199,20191128,1100/
218,20191128,1200/
216,20191128,1300/
196,20191128,1400/
160,20191128,1500/
117,20191128,1600/
89,20191128,1700/
83,20191128,1800/
100,20191128,1900/
135,20191128,2000/
181,20191128,2100/
224,20191128,2200/
252,20191128,2300/
259,20191129,0000/
247,20191129,0100/
210,20191129,0200/
158,20191129,0300/
100,20191129,0400/
52,20191129,0500/
25,20191129,0600/
17,20191129,0700/
36,20191129,0800/
73,20191129,0900/
121,20191129,1000/
169,20191129,1100/
202,20191129,1200/
215,20191129,1300/
210,20191129,1400/
183,20191129,1500/
141,20191129,1600/
103,20191129,1700/
83,20191129,1800/
88,20191129,1900/
113,20191129,2000/
150,20191129,2100/
193,20191129,2200/
233,20191129,2300/
253,20191130,0000/
252,20191130,0100/
229,20191130,0200/
188,20191130,0300/
134,20191130,0400/
84,20191130,0500/
47,20191130,0600/
29,20191130,0700/
34,20191130,0800/
61,20191130,0900/
104,20191130,1000/
153,20191130,1100/
191,20191130,1200/
213,20191130,1300/
216,20191130,1400/
199,20191130,1500/
169,20191130,1600/
130,20191130,1700/
102,20191130,1800/
95,20191130,1900/
110,20191130,2000/
139,20191130,2100/
169,20191130,2200/
205,20191130,2300/
