"","Begin_Date","Begin_Hour","Dolphin_BP","Mn_","Mn_nsong","Mn_other","Mn_social","Mn_song","fish_","fish_c","fish_p","minke_faint","minke_sw","uk_uk","dol_w","Notes","SiteID"
"52",2019-06-12,3,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"53",2019-06-12,4,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"54",2019-06-12,5,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"55",2019-06-12,6,0,0,0,0,0,1,0,1,0,0,0,2,0,"possible whale; ; possible whale; ","WP"
"56",2019-06-12,7,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"57",2019-06-12,8,0,0,0,0,0,1,0,0,0,0,1,0,1,NA,"WP"
"58",2019-06-12,9,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"59",2019-06-12,10,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"60",2019-06-12,11,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"61",2019-06-12,12,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"62",2019-06-12,13,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,"WP"
"63",2019-06-12,14,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,"WP"
"64",2019-06-12,15,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"65",2019-06-12,16,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"66",2019-06-12,17,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"67",2019-06-12,18,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"68",2019-06-12,19,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"69",2019-06-12,20,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"70",2019-06-12,21,0,0,0,0,0,1,0,0,0,0,1,0,1,NA,"WP"
"71",2019-06-12,22,0,0,0,0,0,1,0,0,0,0,1,0,1,NA,"WP"
"72",2019-06-12,23,0,0,0,0,0,2,0,0,0,0,2,0,0,"; ; ; ","WP"
"73",2019-06-13,0,0,0,0,0,0,2,0,0,0,0,2,0,0,"; ; ; ","WP"
"74",2019-06-13,1,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"75",2019-06-13,2,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"76",2019-06-13,3,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"77",2019-06-13,4,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"78",2019-06-13,5,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"79",2019-06-13,6,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"80",2019-06-13,7,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"81",2019-06-13,8,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"82",2019-06-13,9,0,0,0,0,0,1,0,0,0,0,0,1,0,"possible whale; ","WP"
"83",2019-06-13,10,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"84",2019-06-13,11,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,"WP"
"85",2019-06-13,12,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"86",2019-06-13,13,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"87",2019-06-13,14,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,"WP"
"88",2019-06-13,15,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,"WP"
"89",2019-06-13,16,0,0,0,0,0,1,0,0,0,0,0,1,0,"; possible whale","WP"
"90",2019-06-13,17,0,0,0,0,0,3,0,1,0,0,0,0,0,"; ; ; ","WP"
"91",2019-06-13,18,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"92",2019-06-13,19,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"93",2019-06-13,20,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"94",2019-06-13,21,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"95",2019-06-13,22,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"96",2019-06-13,23,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"97",2019-06-14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,"WP"
"98",2019-06-14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"99",2019-06-14,2,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"100",2019-06-14,3,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"101",2019-06-14,4,0,0,0,0,0,1,0,0,0,0,1,0,1,"; faint","WP"
