"","Begin_Date","Begin_Hour","bal_uk","dol_E","dol_EC","dol_W","dol_w.x","fish_","fish_c","fish_o","fish_p","fish_p\","fish_pp","fish_social","minke_***","minke_boing","mn_p","mn_s","mn_soc","mn_socia","mn_sociak'","mn_social","mn_song","mn_sonmg","uk_Lfdownsweeps","uk_uk","uk_ukLFp","uk_ukj","dol_w.y","Notes","SiteID"
"27",2019-09-26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"; [more likley slaps at the surface or someething bumping the hydrophone -- JM]","NGN"
"28",2019-09-26,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; ? [yep! -- JM]; LF pulse","NGN"
"29",2019-09-26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,NA,"; LF pulses; ; LF pulses","NGN"
"30",2019-09-26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; LF pulses","NGN"
"31",2019-09-26,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; ; LF pulses","NGN"
"32",2019-09-26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"33",2019-09-26,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"34",2019-09-26,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"35",2019-09-26,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"36",2019-09-26,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; LF pulses; ","NGN"
"37",2019-09-26,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"; [JM added]","NGN"
"38",2019-09-26,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"39",2019-09-26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,"NGN"
"40",2019-09-26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"; *i dont see it but think I heard it [I hear something but not sure if it's fish or recorder noise... would leave out for now -- JM]","NGN"
"41",2019-09-26,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"; ? [yep! --JM]","NGN"
"42",2019-09-26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,"NGN"
"43",2019-09-26,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"; might be part of mn but its pretty low freq; ","NGN"
"44",2019-09-26,19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"; ; LF pulses [these look like possible baleen whales! they're more downsweeps than just pulses; ask Gen --JM]; ?","NGN"
"45",2019-09-26,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"; LF pulse; ","NGN"
"46",2019-09-26,21,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,NA,"; ; [mn, not fish -- JM]; YES I FOUND ONE!!!! ","NGN"
"47",2019-09-26,22,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"; faint; loud; might just be something hitting the hydrophone [low rumble could also be wave or shifting around -- JM]","NGN"
"48",2019-09-26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"; is this a vessel? [yep, but probably very far away -- JM]","NGN"
"49",2019-09-27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,"; might be baleen? ask Gen --JM added; ; LF pulse","NGN"
"50",2019-09-27,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,"; ; this is probably abiotic but it was loud and cool [could be a breach! -- JM]; LF pulses; ","NGN"
"51",2019-09-27,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; LF pulses; ","NGN"
"52",2019-09-27,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; LF pulses; ; ","NGN"
"53",2019-09-27,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,NA,"; LF pulses; ; LF pulses; ","NGN"
"54",2019-09-27,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"; ; LF pulse; ","NGN"
"55",2019-09-27,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,"; LF pulses; clicks; ? VERY high frequency pop","NGN"
"56",2019-09-27,7,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,NA,"; LF pulses; ; ; high beeps, could be dolphin?; ; ; louder LF pulses","NGN"
"57",2019-09-27,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,"LF pulses; ; ; ","NGN"
"58",2019-09-27,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; ; LF pulses","NGN"
"59",2019-09-27,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; ; LF pulses","NGN"
"60",2019-09-27,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"61",2019-09-27,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"; ; LF pulses","NGN"
"62",2019-09-27,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"63",2019-09-27,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"64",2019-09-27,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; ; LF pulses","NGN"
"65",2019-09-27,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"; ; LF pulses","NGN"
"66",2019-09-27,17,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"; ; LF pulses; ","NGN"
"67",2019-09-27,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; lf pulse; ","NGN"
"68",2019-09-27,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; ; LF pulses","NGN"
"69",2019-09-27,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,NA,"; ; LF long; LF pulse","NGN"
"70",2019-09-27,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; ; LF pulses","NGN"
"71",2019-09-27,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"; ; LF pulses","NGN"
"72",2019-09-27,23,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"faint; ; LOUD; ","NGN"
"73",2019-09-28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,NA,"; ; LF pulses; scraping sound?","NGN"
"74",2019-09-28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,"NGN"
"75",2019-09-28,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; LF pulses; ","NGN"
"76",2019-09-28,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"; ; LF pulses","NGN"
"77",2019-09-28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,NA,"; LF pulses; ","NGN"
"78",2019-09-28,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"LF pulses; ; ","NGN"
"79",2019-09-28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,NA,"; LF pulses; ","NGN"
"80",2019-09-28,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"; LF pulses; faint; ","NGN"
"81",2019-09-28,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"; ; LF pulses","NGN"
"82",2019-09-28,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"83",2019-09-28,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; LF pulses; ","NGN"
