dep,PARKSAUSTRALIA_CGMP_201807_CG_27,PARKSAUSTRALIA_CGMP_201807_CG_28,PARKSAUSTRALIA_CGMP_201807_CG_29,PARKSAUSTRALIA_CGMP_201807_CG_30,PARKSAUSTRALIA_CGMP_201812_CG_1,PARKSAUSTRALIA_CGMP_201812_CG_2,PARKSAUSTRALIA_CGMP_201812_CG_3,PARKSAUSTRALIA_CGMP_201812_CG_4,PARKSAUSTRALIA_CGMP_201812_CG_5,PARKSAUSTRALIA_CGMP_201812_CG_51,PARKSAUSTRALIA_CGMP_201812_CG_52,PARKSAUSTRALIA_CGMP_201812_CG_6,PARKSAUSTRALIA_CGMP_201812_CG_7,PARKSAUSTRALIA_CGMP_201904_CG_17,PARKSAUSTRALIA_CGMP_201904_CG_18,PARKSAUSTRALIA_CGMP_201904_CG_19,PARKSAUSTRALIA_CGMP_201904_CG_20,PARKSAUSTRALIA_CGMP_201904_CG_21,PARKSAUSTRALIA_CGMP_201904_CG_22,PARKSAUSTRALIA_CGMP_201904_CG_23,PARKSAUSTRALIA_CGMP_201904_CG_24,PARKSAUSTRALIA_CGMP_201904_CG_25,PARKSAUSTRALIA_SIMP_201808_WP_33,PARKSAUSTRALIA_SIMP_201808_WP_34,PARKSAUSTRALIA_SIMP_201808_WP_35,PARKSAUSTRALIA_SIMP_201808_WP_36,PARKSAUSTRALIA_SIMP_201812_WP_1,PARKSAUSTRALIA_SIMP_201812_WP_2,PARKSAUSTRALIA_SIMP_201812_WP_51,PARKSAUSTRALIA_SIMP_201812_WP_52,PARKSAUSTRALIA_SIMP_201906_WP_25,PARKSAUSTRALIA_SIMP_201906_WP_26,PARKSAUSTRALIA_SIMP_201906_WP_27,PARKSAUSTRALIA_SIMP_201906_WP_28,PARKSAUSTRALIA_SIMP_201906_WP_29,PARKSAUSTRALIA_SIMP_201906_WP_30,PARKSAUSTRALIA_SIMP_201906_WP_31
PARKSAUSTRALIA_CGMP_201807_CG_27,0,0.004644284114140615,0.005359666348254677,0.005889602343534703,0.00918567070750151,0.021126637027199524,0.011253126953771323,0.014012383392245555,0.013317801998404079,0.012746261404481617,0.015969507193825436,0.017975279681211685,0.018995832242253024,0.010861729686603625,0.00893396755524762,0.01148026009851743,0.012822567786502813,0.013090725561969538,0.010064901539761837,0.011888531516399327,0.01062560866388044,0.013864966430565255,0.02166963289755647,0.022311223259482794,0.02144206695653198,0.02071414210040065,0.03800961135975344,0.0421823444890284,0.028513542127564465,0.035462085785050994,0.019425172425794508,0.018493785047927324,0.019457314985297174,0.017896553357443248,0.019571420900417465,0.01956509064603302,0.022243981254246703
PARKSAUSTRALIA_CGMP_201807_CG_28,0.004644284114140615,0,0.0030178174564314195,0.0034773298038490363,0.008805374768540255,0.0208994311186111,0.010438939656612708,0.013668523321195463,0.011821466463706696,0.011819729603922462,0.015407297635471698,0.01719812921734797,0.018517095861120905,0.009213928028549962,0.00798914746058436,0.011267469503315341,0.012185605340443637,0.01093396910645084,0.009339065547069396,0.011527209471067543,0.008970490300844203,0.014112098896933094,0.01948344955170057,0.019788517642960014,0.018896026979483095,0.018288496802582484,0.03893495303492077,0.04316532704899529,0.0290449405242245,0.0364088491679189,0.019225819948238545,0.017267227796752486,0.0183308407819626,0.016001165799526693,0.017301096714616104,0.018152677734898537,0.021394430295844962
PARKSAUSTRALIA_CGMP_201807_CG_29,0.005359666348254677,0.0030178174564314195,0,0.00224559026907673,0.007267273504467056,0.020395038938411856,0.009043483807601331,0.012584510163678089,0.009735219274923412,0.010872213184078685,0.014240174796764258,0.016648605543343818,0.016981358236105252,0.007712813277516824,0.006285859410911366,0.009885539658456819,0.010800148846423309,0.009239520156017159,0.00801023054648495,0.010508731347773638,0.0076086415844686985,0.013265403112439286,0.01875238496616607,0.01948765251828156,0.01812077948707,0.01745859858119719,0.03899432399493594,0.04323651327158749,0.028970376769249365,0.03639809996890808,0.019037614407308754,0.016888117483985908,0.017853804324733817,0.015112806427439817,0.016297669324164633,0.01717485664392757,0.020913782128668883
PARKSAUSTRALIA_CGMP_201807_CG_30,0.005889602343534703,0.0034773298038490363,0.00224559026907673,0,0.007869053069542447,0.020836058079930657,0.009579729447623059,0.013241602431132982,0.01014333659634115,0.011376767212585235,0.01463491961719881,0.016937887661886922,0.01760225565173462,0.008369819576658428,0.006797555952685212,0.010236754262057644,0.011168661830704302,0.009356354098548259,0.008310466662767786,0.01065607845782726,0.007008428959438764,0.012531996793310988,0.018589489634032723,0.01871887398154582,0.017560132406856905,0.016758846568179647,0.039808729644485896,0.04405679993988601,0.029749429062497633,0.03711455993485061,0.01960289572239083,0.017286112997747818,0.018118534917153564,0.014112770648782948,0.015795031513878545,0.017184844365205135,0.021240670287508895
PARKSAUSTRALIA_CGMP_201812_CG_1,0.00918567070750151,0.008805374768540255,0.007267273504467056,0.007869053069542447,0,0.015585372506314744,0.0043809995260144655,0.007010244185631247,0.006458880214759746,0.00633370516049503,0.009877065060710321,0.012818745114890454,0.012883643613016872,0.006839350691825575,0.004633397490303812,0.006616016568327743,0.0081065260629285,0.008353405112998643,0.005632569222346685,0.008479585467160529,0.010424426624251918,0.016312445063715545,0.01912839880190143,0.020123015114238644,0.01957010164408869,0.01949994603155056,0.03601283993746699,0.04016798859809427,0.025674559099315503,0.03311635698008372,0.01600869565979955,0.0159002697123008,0.016443999973418447,0.016483635772851977,0.016775735023942227,0.016703637392745222,0.01897575706860223
PARKSAUSTRALIA_CGMP_201812_CG_2,0.021126637027199524,0.0208994311186111,0.020395038938411856,0.020836058079930657,0.015585372506314744,0,0.012679511213598525,0.011463126504935231,0.01472533316802456,0.011203866974146463,0.019694562654125423,0.004410756588464223,0.010900105514182194,0.014434153297218293,0.016094837150933957,0.013530764330017804,0.01398395645587561,0.01570089770530874,0.015757549224487393,0.020436417538062815,0.02420845515864152,0.0309008924788985,0.014341144939068027,0.015263895109554042,0.016795799351730565,0.01866579473224109,0.023629131995590212,0.027428082872609057,0.015755592606567254,0.02138850968543651,0.009662154466052583,0.01082866811829977,0.010812300854798309,0.01734928363742914,0.01492455661251475,0.01333008170129794,0.012621606799604428
PARKSAUSTRALIA_CGMP_201812_CG_3,0.011253126953771323,0.010438939656612708,0.009043483807601331,0.009579729447623059,0.0043809995260144655,0.012679511213598525,0,0.004836979095875545,0.00429879130001948,0.0033893815166856143,0.010444856296657179,0.00909791226346325,0.009579514973694898,0.004619184822407954,0.004690475340743465,0.005630046326910768,0.006066452037628311,0.006412873914013197,0.005311223908285888,0.009570190017044027,0.0121600368439337,0.01887349877270188,0.017081409353658435,0.018267939551778287,0.017960023607444746,0.018285901064749383,0.033626861261725344,0.037777455844794125,0.02332479888642674,0.030739526937019406,0.01406819222512088,0.013642288698017941,0.014329687935794824,0.01616415321352455,0.015851201622420458,0.015399282406866704,0.017061708566936458
PARKSAUSTRALIA_CGMP_201812_CG_4,0.014012383392245555,0.013668523321195463,0.012584510163678089,0.013241602431132982,0.007010244185631247,0.011463126504935231,0.004836979095875545,0,0.007797849042705373,0.0031600025100154464,0.008797422173693325,0.009636232143008974,0.006589965104498201,0.008025376138007464,0.008226385507155824,0.005947709030717529,0.006634788380231697,0.00804562813099169,0.00773192300446917,0.011053255529711354,0.01574502100065101,0.022211311963815213,0.017295432219405202,0.01777133613941902,0.018789453403424902,0.019203065521240233,0.03212139203779933,0.03614158042894829,0.02164156881352971,0.02904844430360579,0.01248820083398296,0.013264296492585727,0.013246491442820406,0.016595660467313908,0.01586128413632846,0.014169071928901336,0.0150016060304099
PARKSAUSTRALIA_CGMP_201812_CG_5,0.013317801998404079,0.011821466463706696,0.009735219274923412,0.01014333659634115,0.006458880214759746,0.01472533316802456,0.00429879130001948,0.007797849042705373,0,0.006061830297749177,0.012015214627191684,0.010488506157993674,0.009852472577031141,0.006513736978234653,0.006671701623892346,0.008793308779125146,0.00824879514272476,0.006777788539083951,0.007657718686706374,0.011364814312569334,0.011007386317763367,0.01744424717773455,0.016760371092969694,0.017768068659130345,0.016793721600267698,0.01627355283821215,0.036520195818144224,0.04063476342769786,0.02595960673794127,0.03360118553318311,0.015993479376710414,0.014478473847324105,0.015154507455693305,0.014215067186713025,0.014679519972061105,0.015183084678131713,0.017886882247020813
PARKSAUSTRALIA_CGMP_201812_CG_51,0.012746261404481617,0.011819729603922462,0.010872213184078685,0.011376767212585235,0.00633370516049503,0.011203866974146463,0.0033893815166856143,0.0031600025100154464,0.006061830297749177,0,0.010353294285027273,0.008211619204761914,0.007983798454485398,0.006600879854264719,0.00677244771999022,0.006387775533866945,0.006399521082804198,0.006887616252162447,0.006793109824668998,0.011002222399968214,0.014020238685612588,0.02073422001726122,0.015883299737416867,0.01621830899621029,0.01693960801078775,0.01744011697390378,0.033042102613401604,0.037136023359127024,0.0226503964425756,0.03008180632558511,0.01286815545733357,0.012544100896040647,0.012907969250259948,0.01518585672038097,0.014507611588031617,0.013699387342963493,0.015183093053703625
