dep,PARKSAUSTRALIA_CGMP_201807_CG_27,PARKSAUSTRALIA_CGMP_201807_CG_28,PARKSAUSTRALIA_CGMP_201807_CG_29,PARKSAUSTRALIA_CGMP_201807_CG_30,PARKSAUSTRALIA_CGMP_201812_CG_1,PARKSAUSTRALIA_CGMP_201812_CG_2,PARKSAUSTRALIA_CGMP_201812_CG_3,PARKSAUSTRALIA_CGMP_201812_CG_4,PARKSAUSTRALIA_CGMP_201812_CG_5,PARKSAUSTRALIA_CGMP_201812_CG_51,PARKSAUSTRALIA_CGMP_201812_CG_52,PARKSAUSTRALIA_CGMP_201812_CG_6,PARKSAUSTRALIA_CGMP_201812_CG_7,PARKSAUSTRALIA_CGMP_201904_CG_17,PARKSAUSTRALIA_CGMP_201904_CG_18,PARKSAUSTRALIA_CGMP_201904_CG_19,PARKSAUSTRALIA_CGMP_201904_CG_20,PARKSAUSTRALIA_CGMP_201904_CG_21,PARKSAUSTRALIA_CGMP_201904_CG_22,PARKSAUSTRALIA_CGMP_201904_CG_23,PARKSAUSTRALIA_CGMP_201904_CG_24,PARKSAUSTRALIA_CGMP_201904_CG_25,PARKSAUSTRALIA_DAMPIER_202009_DNE_38,PARKSAUSTRALIA_DAMPIER_202009_DNE_39,PARKSAUSTRALIA_DAMPIER_202009_DNE_40,PARKSAUSTRALIA_DAMPIER_202009_DNE_41,PARKSAUSTRALIA_DAMPIER_202009_DNE_42,PARKSAUSTRALIA_DAMPIER_202009_DNE_44,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_10,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_11,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_12,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_3,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_4,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_5,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_6,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_7,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_8,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_9,PARKSAUSTRALIA_JURIEN_202201_JNE_2,PARKSAUSTRALIA_JURIEN_202201_JNE_3,PARKSAUSTRALIA_JURIEN_202201_JNE_4,PARKSAUSTRALIA_JURIEN_202201_JNE_5,PARKSAUSTRALIA_JURIEN_202201_JNE_6,PARKSAUSTRALIA_JURIEN_202201_JNE_7,PARKSAUSTRALIA_JURIEN_202201_JNE_8,PARKSAUSTRALIA_JURIEN_202201_JNE_9,PARKSAUSTRALIA_MURAT_202002_MRE_10,PARKSAUSTRALIA_MURAT_202002_MRE_11,PARKSAUSTRALIA_MURAT_202002_MRE_12,PARKSAUSTRALIA_MURAT_202002_MRE_13,PARKSAUSTRALIA_MURAT_202002_MRE_14,PARKSAUSTRALIA_MURAT_202002_MRE_15,PARKSAUSTRALIA_MURAT_202002_MRE_16,PARKSAUSTRALIA_MURAT_202002_MRE_17,PARKSAUSTRALIA_MURAT_202002_MRE_7,PARKSAUSTRALIA_MURAT_202002_MRE_8,PARKSAUSTRALIA_MURAT_202002_MRE_9,PARKSAUSTRALIA_NINGALOO_201909_NGN_40,PARKSAUSTRALIA_NINGALOO_201909_NGN_41,PARKSAUSTRALIA_NINGALOO_201909_NGN_42,PARKSAUSTRALIA_NINGALOO_201909_NGN_43,PARKSAUSTRALIA_NINGALOO_201909_NGN_44,PARKSAUSTRALIA_NINGALOO_201909_NGN_45,PARKSAUSTRALIA_NINGALOO_201909_NGN_46,PARKSAUSTRALIA_SIMP_201808_WP_33,PARKSAUSTRALIA_SIMP_201808_WP_34,PARKSAUSTRALIA_SIMP_201808_WP_35,PARKSAUSTRALIA_SIMP_201808_WP_36,PARKSAUSTRALIA_SIMP_201812_WP_1,PARKSAUSTRALIA_SIMP_201812_WP_2,PARKSAUSTRALIA_SIMP_201812_WP_51,PARKSAUSTRALIA_SIMP_201812_WP_52,PARKSAUSTRALIA_SIMP_201906_WP_25,PARKSAUSTRALIA_SIMP_201906_WP_26,PARKSAUSTRALIA_SIMP_201906_WP_27,PARKSAUSTRALIA_SIMP_201906_WP_28,PARKSAUSTRALIA_SIMP_201906_WP_29,PARKSAUSTRALIA_SIMP_201906_WP_30,PARKSAUSTRALIA_SIMP_201906_WP_31,PARKSAUSTRALIA_SWC_202201_SWS_10,PARKSAUSTRALIA_SWC_202201_SWS_11,PARKSAUSTRALIA_SWC_202201_SWS_12,PARKSAUSTRALIA_SWC_202201_SWS_13,PARKSAUSTRALIA_SWC_202201_SWS_14,PARKSAUSTRALIA_SWC_202201_SWS_4,PARKSAUSTRALIA_SWC_202201_SWS_5,PARKSAUSTRALIA_SWC_202201_SWS_6,PARKSAUSTRALIA_SWC_202201_SWS_7,PARKSAUSTRALIA_SWC_202201_SWS_8,PARKSAUSTRALIA_SWC_202201_SWS_9,PARKSAUSTRALIA_TWOROCKS_202105_TRW_20,PARKSAUSTRALIA_TWOROCKS_202105_TRW_21,PARKSAUSTRALIA_TWOROCKS_202105_TRW_22,PARKSAUSTRALIA_TWOROCKS_202105_TRW_23,PARKSAUSTRALIA_TWOROCKS_202105_TRW_24,PARKSAUSTRALIA_TWOROCKS_202105_TRW_27,PARKSAUSTRALIA_TWOROCKS_202105_TRW_28,PARKSAUSTRALIA_TWOROCKS_202105_TRW_29,PARKSAUSTRALIA_TWOROCKS_202105_TRW_30
PARKSAUSTRALIA_CGMP_201807_CG_27,0,0.004644284114140615,0.005359666348254677,0.005889602343534703,0.00918567070750151,0.021126637027199524,0.011253126953771323,0.014012383392245555,0.013317801998404079,0.012746261404481617,0.015969507193825436,0.017975279681211685,0.018995832242253024,0.010861729686603625,0.00893396755524762,0.01148026009851743,0.012822567786502813,0.013090725561969538,0.010064901539761837,0.011888531516399327,0.01062560866388044,0.013864966430565255,0.03410893469895619,0.019818287183094238,0.029939851023571742,0.019689756183428244,0.02290281693250107,0.01903467048000303,0.04543577717242744,0.029142919147533475,0.028172171288191432,0.033647553163899384,0.012595277599594949,0.016740232473263797,0.024559584222794015,0.027627677626804008,0.016398287139552343,0.029426779993362753,0.05218106124964549,0.050410921552894984,0.05306620005349495,0.05171837940223904,0.052262644602297036,0.05199906832214271,0.052915136380147276,0.052973622134702095,0.025689673369120734,0.020303502318559152,0.011698330215064489,0.01279243377592065,0.01893961844583274,0.01397943465221709,0.015623583070059911,0.01602432269287911,0.018531652562324953,0.01815438808729922,0.011963903984960507,0.04377283347982654,0.04204136366947872,0.04220440272410703,0.04069075657515135,0.04189495910738808,0.03718923254498383,0.036973827267054074,0.02166963289755647,0.022311223259482794,0.02144206695653198,0.02071414210040065,0.03800961135975344,0.0421823444890284,0.028513542127564465,0.035462085785050994,0.019425172425794508,0.018493785047927324,0.019457314985297174,0.017896553357443248,0.019571420900417465,0.01956509064603302,0.022243981254246703,0.05310171468953189,0.050532789121623546,0.04752574551159877,0.0484350070812147,0.04741967772358131,0.049652990943749545,0.049665554698779445,0.04865532932510819,0.06123589335540576,0.0502793155716654,0.0482008802588326,0.029023880223626352,0.014507817107520674,0.025322994370902532,0.012771464322678453,0.014040170682553504,0.01740149426349774,0.01804837047087175,0.013111550377170687,0.02897889723807879
PARKSAUSTRALIA_CGMP_201807_CG_28,0.004644284114140615,0,0.0030178174564314195,0.0034773298038490363,0.008805374768540255,0.0208994311186111,0.010438939656612708,0.013668523321195463,0.011821466463706696,0.011819729603922462,0.015407297635471698,0.01719812921734797,0.018517095861120905,0.009213928028549962,0.00798914746058436,0.011267469503315341,0.012185605340443637,0.01093396910645084,0.009339065547069396,0.011527209471067543,0.008970490300844203,0.014112098896933094,0.03306709774221986,0.02012876564865786,0.029463577600027692,0.02037153189850556,0.023103843675391315,0.019662735498198143,0.046358578785480116,0.029137894801938378,0.027792177100615448,0.03440018236373906,0.01515458779574811,0.01773772598212937,0.02489378969039292,0.028017612100387217,0.016741535248866322,0.029638363626257002,0.053491325652233225,0.05152437291916393,0.054395335438604586,0.05286949498169752,0.05345468731645397,0.05297928310992869,0.0541332210901026,0.054197388161894955,0.02731543474821608,0.022429562989702584,0.013938468887219639,0.015065898754762365,0.01965238658055529,0.01662289190660852,0.01732672023012449,0.017161192751786843,0.02069449758975485,0.02031413084989453,0.013818136200167594,0.04466730802825633,0.04301251904045398,0.04304304575670592,0.04146850301679676,0.04282506580767834,0.03770161280085265,0.03728619329713792,0.01948344955170057,0.019788517642960014,0.018896026979483095,0.018288496802582484,0.03893495303492077,0.04316532704899529,0.0290449405242245,0.0364088491679189,0.019225819948238545,0.017267227796752486,0.0183308407819626,0.016001165799526693,0.017301096714616104,0.018152677734898537,0.021394430295844962,0.05421704831457578,0.0518807449678752,0.048937948337633486,0.04980572589732834,0.04874018760871043,0.051062366150130115,0.05103987829231201,0.050022968905517946,0.061913074344260514,0.05167140982902752,0.049601794460538064,0.029399356293601384,0.016770075379035985,0.02557847210962364,0.01506814022909252,0.015680473213646323,0.019291346264318176,0.020430554213418113,0.015917443874971113,0.030889473628593202
PARKSAUSTRALIA_CGMP_201807_CG_29,0.005359666348254677,0.0030178174564314195,0,0.00224559026907673,0.007267273504467056,0.020395038938411856,0.009043483807601331,0.012584510163678089,0.009735219274923412,0.010872213184078685,0.014240174796764258,0.016648605543343818,0.016981358236105252,0.007712813277516824,0.006285859410911366,0.009885539658456819,0.010800148846423309,0.009239520156017159,0.00801023054648495,0.010508731347773638,0.0076086415844686985,0.013265403112439286,0.03166507929378195,0.018811864690329975,0.028147974033483736,0.019091200787985242,0.02162552712224856,0.0184607782807476,0.04670124013317194,0.029541653371533395,0.028328851275663723,0.034732306462130325,0.015759809504472717,0.018230061683597577,0.025077673097639315,0.028295218297709656,0.017312729140333945,0.029983094611421828,0.05329291071444538,0.05140411806085517,0.054143832906329015,0.05281021715965804,0.05335242513273743,0.05275108925322372,0.05405422772376072,0.0540998899984361,0.026919110469025717,0.02226278902405141,0.014256563047554103,0.015474549352176624,0.020108253970769343,0.017126084979935487,0.018184110024712225,0.017703663605178367,0.02051838127886629,0.020146028482368145,0.01400906936481717,0.04403313996830632,0.04253351469751401,0.0424988068993728,0.04089354635513132,0.0422428705586436,0.03712628643195955,0.03666040603583195,0.01875238496616607,0.01948765251828156,0.01812077948707,0.01745859858119719,0.03899432399493594,0.04323651327158749,0.028970376769249365,0.03639809996890808,0.019037614407308754,0.016888117483985908,0.017853804324733817,0.015112806427439817,0.016297669324164633,0.01717485664392757,0.020913782128668883,0.05396258354370508,0.05164893120006733,0.04853196677030506,0.04949637722252137,0.04849902684523102,0.05070709789701898,0.05086835393494275,0.049730253505495856,0.06154899127885164,0.0513607754025917,0.049263577591300976,0.02956216282499892,0.017255882202560097,0.02570570915853399,0.015873646127583,0.016142112156431063,0.019856370885157376,0.02110159946659161,0.01655999539990726,0.030969524055717245
PARKSAUSTRALIA_CGMP_201807_CG_30,0.005889602343534703,0.0034773298038490363,0.00224559026907673,0,0.007869053069542447,0.020836058079930657,0.009579729447623059,0.013241602431132982,0.01014333659634115,0.011376767212585235,0.01463491961719881,0.016937887661886922,0.01760225565173462,0.008369819576658428,0.006797555952685212,0.010236754262057644,0.011168661830704302,0.009356354098548259,0.008310466662767786,0.01065607845782726,0.007008428959438764,0.012531996793310988,0.031016732415002322,0.019048571714956254,0.027768817996993454,0.01955668208809585,0.021697734927271266,0.019109200925008472,0.04765016867985328,0.030563408891534513,0.0294023082456935,0.03556167137928441,0.016030189663426276,0.018626807323047435,0.025895471151975148,0.029143839910328543,0.017989139829353094,0.030994503934732097,0.05256013602960083,0.05069782546544695,0.05342861358279786,0.05208475366370338,0.05261608319372724,0.05201973544628808,0.05328855308606139,0.05334889828410885,0.026948292877909525,0.022421071576644053,0.014430576890014656,0.015513732331457392,0.020277518227741903,0.017296510274265396,0.018074893783649463,0.0177101866134507,0.020690682652628155,0.02030549337627142,0.014426693867073272,0.043355618044312656,0.04181589628174142,0.04176798476377009,0.04019379053088099,0.0415512260665094,0.03669694554334963,0.036468233746207765,0.018589489634032723,0.01871887398154582,0.017560132406856905,0.016758846568179647,0.039808729644485896,0.04405679993988601,0.029749429062497633,0.03711455993485061,0.01960289572239083,0.017286112997747818,0.018118534917153564,0.014112770648782948,0.015795031513878545,0.017184844365205135,0.021240670287508895,0.05322009573858554,0.050853495790642,0.04780903487468356,0.048727241671109936,0.04771570801781848,0.04997494127935801,0.05009973876566257,0.04894114278156734,0.060833607409207784,0.050591418746127353,0.04850688903621348,0.030057771940903755,0.01716373176398558,0.02622548969274787,0.0156734594012144,0.016099861866446692,0.019718523160093305,0.021176765927459748,0.01665758583051485,0.030933649949615727
PARKSAUSTRALIA_CGMP_201812_CG_1,0.00918567070750151,0.008805374768540255,0.007267273504467056,0.007869053069542447,0,0.015585372506314744,0.0043809995260144655,0.007010244185631247,0.006458880214759746,0.00633370516049503,0.009877065060710321,0.012818745114890454,0.012883643613016872,0.006839350691825575,0.004633397490303812,0.006616016568327743,0.0081065260629285,0.008353405112998643,0.005632569222346685,0.008479585467160529,0.010424426624251918,0.016312445063715545,0.03054268368663172,0.015831407027946835,0.027413442766337878,0.015208746665382335,0.01954796846401514,0.01326689871016495,0.04566584444868749,0.02912455607878289,0.028413309648486682,0.03252950713385894,0.018147579417187948,0.020140381304816705,0.024881589145214128,0.027207108821242,0.01968456030540963,0.029773046911192442,0.05603944894011673,0.05404222714725587,0.05703657397996781,0.055503913958884536,0.056213220811522246,0.05543698426184369,0.057059788959613736,0.05702528828616834,0.029483958577979176,0.024015616421421408,0.014493583040980378,0.015740591210488875,0.01885949657120407,0.017325910905675986,0.018430693224204285,0.01727190204236116,0.022223119907050927,0.021624113949346616,0.013754588182151022,0.04667819972476957,0.045274988504250394,0.04497006378698971,0.04334183560354102,0.04496265645421587,0.0394195786708972,0.03874437844607533,0.01912839880190143,0.020123015114238644,0.01957010164408869,0.01949994603155056,0.03601283993746699,0.04016798859809427,0.025674559099315503,0.03311635698008372,0.01600869565979955,0.0159002697123008,0.016443999973418447,0.016483635772851977,0.016775735023942227,0.016703637392745222,0.01897575706860223,0.056858105012163845,0.05469176767812614,0.05178974403199309,0.05261381261064587,0.051549361961884296,0.05404351936536127,0.053997040518653124,0.052806833570836965,0.06416778333763408,0.05450845425043289,0.052432008346771454,0.026619859132358634,0.017776446619082578,0.023616379744947916,0.01700406660135102,0.01725067471376012,0.02174283069186213,0.02239396242916872,0.017469095978115672,0.03253304734735103
PARKSAUSTRALIA_CGMP_201812_CG_2,0.021126637027199524,0.0208994311186111,0.020395038938411856,0.020836058079930657,0.015585372506314744,0,0.012679511213598525,0.011463126504935231,0.01472533316802456,0.011203866974146463,0.019694562654125423,0.004410756588464223,0.010900105514182194,0.014434153297218293,0.016094837150933957,0.013530764330017804,0.01398395645587561,0.01570089770530874,0.015757549224487393,0.020436417538062815,0.02420845515864152,0.0309008924788985,0.034034066245869625,0.026697064254370757,0.03640284739935293,0.025442344843856882,0.02763451866787343,0.02086637828881584,0.03914349837253171,0.027787231558068424,0.028618320905391226,0.030892625591216267,0.029535327044662427,0.028034625638180183,0.027580139015663918,0.026698061782779493,0.027276353776606626,0.03032048579627647,0.07026629724502108,0.06808040075295717,0.07118951833109874,0.0695181331379883,0.07009552431393906,0.0694451407811732,0.07068489514527519,0.07074782025434526,0.043289385523258006,0.03767757620625662,0.02662413517640396,0.027231687600796983,0.022608941226458533,0.02999767730284965,0.026726690514021746,0.025067872718486643,0.03587839030029986,0.03534599786703601,0.02668949558653241,0.06131302203430289,0.05965379008494378,0.05955119745542654,0.05775307360168553,0.059371615727888016,0.05388361403374892,0.05295785588280663,0.014341144939068027,0.015263895109554042,0.016795799351730565,0.01866579473224109,0.023629131995590212,0.027428082872609057,0.015755592606567254,0.02138850968543651,0.009662154466052583,0.01082866811829977,0.010812300854798309,0.01734928363742914,0.01492455661251475,0.01333008170129794,0.012621606799604428,0.070544634793837,0.0684387650281307,0.06566272515362684,0.06640540891296476,0.06525603032532828,0.06782091699667477,0.06770316627911205,0.06662461638293893,0.07806184937030662,0.06830371990093519,0.06627497420765004,0.021736356735833153,0.030166298892716294,0.022284216599346852,0.028446788927795133,0.028067848234259986,0.03476746405279421,0.03516819478720197,0.02988007526264891,0.045966619483881956
PARKSAUSTRALIA_CGMP_201812_CG_3,0.011253126953771323,0.010438939656612708,0.009043483807601331,0.009579729447623059,0.0043809995260144655,0.012679511213598525,0,0.004836979095875545,0.00429879130001948,0.0033893815166856143,0.010444856296657179,0.00909791226346325,0.009579514973694898,0.004619184822407954,0.004690475340743465,0.005630046326910768,0.006066452037628311,0.006412873914013197,0.005311223908285888,0.009570190017044027,0.0121600368439337,0.01887349877270188,0.02962539877254738,0.017265520677987613,0.028066683871096475,0.01708812465867094,0.019798287708508597,0.014164934746767914,0.0438355004155359,0.02785571894929998,0.027274226210089538,0.031761145123794084,0.020971412445300965,0.02105586925776597,0.024380718216545194,0.02611655220404592,0.02048522239770214,0.028960069940216427,0.059427186904977634,0.05746582188669168,0.06032011895103202,0.05890808059127079,0.059546836642980466,0.05879342159503094,0.060333854333404456,0.060336353621259026,0.032656406829124164,0.02715784416520206,0.017950097949338228,0.018969432605098896,0.01883517229270241,0.02104514951416697,0.020003337914293987,0.01855552240977574,0.025340120313439456,0.024786480425359424,0.01745180551907561,0.050004970351164295,0.048597541329596226,0.048352467927253444,0.04669726206229164,0.048294958186954014,0.042648720609426934,0.04177643320449173,0.017081409353658435,0.018267939551778287,0.017960023607444746,0.018285901064749383,0.033626861261725344,0.037777455844794125,0.02332479888642674,0.030739526937019406,0.01406819222512088,0.013642288698017941,0.014329687935794824,0.01616415321352455,0.015851201622420458,0.015399282406866704,0.017061708566936458,0.06017910146783749,0.05796827327927956,0.05496680649723448,0.05586694882491569,0.05482406049716415,0.057208033957384524,0.057242815033841675,0.05606415618587832,0.06744780463593163,0.05774747342909595,0.05565797016705632,0.024525023216892622,0.0213637709737782,0.022225527176446273,0.020152544207929057,0.019351097632284254,0.025013266361814373,0.025753062398171364,0.021073926963024455,0.03591309998056139
PARKSAUSTRALIA_CGMP_201812_CG_4,0.014012383392245555,0.013668523321195463,0.012584510163678089,0.013241602431132982,0.007010244185631247,0.011463126504935231,0.004836979095875545,0,0.007797849042705373,0.0031600025100154464,0.008797422173693325,0.009636232143008974,0.006589965104498201,0.008025376138007464,0.008226385507155824,0.005947709030717529,0.006634788380231697,0.00804562813099169,0.00773192300446917,0.011053255529711354,0.01574502100065101,0.022211311963815213,0.028192687828680722,0.01814803297658108,0.027360732276349515,0.01756022992287801,0.02092351207846539,0.014210784515269052,0.04352933840228363,0.027566735030213792,0.02719240738101416,0.030424261857993577,0.02228692907589817,0.02126166693339754,0.023969261764157077,0.025602899032435938,0.021089321857735904,0.028776019113115812,0.06126737059913576,0.05817096900275517,0.06217096575900402,0.06019289746001836,0.06093107405142831,0.05936716323700417,0.061353179094417266,0.06082773451146912,0.03438141876539011,0.028844023806434863,0.018055458024264927,0.018802168996128445,0.01612698751007447,0.021509723358464117,0.018664787582933523,0.016441902336927078,0.02709400862907374,0.02644738505283876,0.017440106196771256,0.052183011744701524,0.05056942511061464,0.05027377366042606,0.048104173305130886,0.050246006842802664,0.04437159718399573,0.04329051193703445,0.017295432219405202,0.01777133613941902,0.018789453403424902,0.019203065521240233,0.03212139203779933,0.03614158042894829,0.02164156881352971,0.02904844430360579,0.01248820083398296,0.013264296492585727,0.013246491442820406,0.016595660467313908,0.01586128413632846,0.014169071928901336,0.0150016060304099,0.06087000501014657,0.05946890787595254,0.056892088587970326,0.05757526345277805,0.05625770743423276,0.0590640561504662,0.05879239731419194,0.05771187313111891,0.0679305443829599,0.059401425002125634,0.0574317994129807,0.021425688821726355,0.020370066519082006,0.01949782378021327,0.02034890328347087,0.019178745570485975,0.026080172519223056,0.026344679295426457,0.02112193277276388,0.03609415974214354
PARKSAUSTRALIA_CGMP_201812_CG_5,0.013317801998404079,0.011821466463706696,0.009735219274923412,0.01014333659634115,0.006458880214759746,0.01472533316802456,0.00429879130001948,0.007797849042705373,0,0.006061830297749177,0.012015214627191684,0.010488506157993674,0.009852472577031141,0.006513736978234653,0.006671701623892346,0.008793308779125146,0.00824879514272476,0.006777788539083951,0.007657718686706374,0.011364814312569334,0.011007386317763367,0.01744424717773455,0.027358780235734802,0.016744476291670158,0.025916563163681534,0.01729716635588038,0.01800456191460953,0.015013841802081733,0.04760229449486514,0.03107641449955231,0.030547074885550824,0.035413109617361264,0.02361441253768685,0.024382593616350645,0.027723842752778113,0.029428917156338892,0.02384083894026275,0.03238119885517544,0.0582414611058624,0.056253896294985485,0.0592059275389205,0.05772627557325865,0.05843164166357125,0.05765652850153646,0.05927362775738143,0.059241686151266876,0.031625548174836086,0.027162671443165448,0.02033797159409748,0.02154377040734429,0.02174567979674318,0.02311081949679136,0.02333477535728164,0.021750012802959056,0.025464976117284484,0.02498634501910384,0.019595620224791208,0.048729226496723815,0.04743498446875684,0.0471594551769691,0.04550043385724315,0.04712948168699917,0.041210535869555864,0.040424081877728536,0.016760371092969694,0.017768068659130345,0.016793721600267698,0.01627355283821215,0.036520195818144224,0.04063476342769786,0.02595960673794127,0.03360118553318311,0.015993479376710414,0.014478473847324105,0.015154507455693305,0.014215067186713025,0.014679519972061105,0.015183084678131713,0.017886882247020813,0.05907717016425004,0.0569050620702693,0.05382965632890411,0.054816760252136505,0.053763200759652,0.05606763754910304,0.05620962100803195,0.0550043036710771,0.06619749064204071,0.056693903425659956,0.05458090028570275,0.0277943275488928,0.02378821527177693,0.02521163974404288,0.022634325033598374,0.02171755690734161,0.02589928497112474,0.0274438913075093,0.02335738876538166,0.03590287058739654
PARKSAUSTRALIA_CGMP_201812_CG_51,0.012746261404481617,0.011819729603922462,0.010872213184078685,0.011376767212585235,0.00633370516049503,0.011203866974146463,0.0033893815166856143,0.0031600025100154464,0.006061830297749177,0,0.010353294285027273,0.008211619204761914,0.007983798454485398,0.006600879854264719,0.00677244771999022,0.006387775533866945,0.006399521082804198,0.006887616252162447,0.006793109824668998,0.011002222399968214,0.014020238685612588,0.02073422001726122,0.029379980788205792,0.01822671059827767,0.02831352151699196,0.018234812820868977,0.021015199159164964,0.015422244224325673,0.0436399088282725,0.027319990634045804,0.026880706652608163,0.03094432360832293,0.02218139851398526,0.021480235303420445,0.023951578043209007,0.0255878035025669,0.021031757177444436,0.028578311546056643,0.06010200204548538,0.05760145274595519,0.06102903387645069,0.059172110221135416,0.05986464305752009,0.058974230179562465,0.06048355790220979,0.06037264572981017,0.03344102026706863,0.02797586608089552,0.018875092448873136,0.019734391446392607,0.01736877863869185,0.02199910212591726,0.019729349740063122,0.01758461763012674,0.02620837051880023,0.025594423192768768,0.018282036315737073,0.05116870547952586,0.049496075875296024,0.049390313373569604,0.04748376097845121,0.04921312545461399,0.043631335609189026,0.042612001200136536,0.015883299737416867,0.01621830899621029,0.01693960801078775,0.01744011697390378,0.033042102613401604,0.037136023359127024,0.0226503964425756,0.03008180632558511,0.01286815545733357,0.012544100896040647,0.012907969250259948,0.01518585672038097,0.014507611588031617,0.013699387342963493,0.015183093053703625,0.06022033807604845,0.05848443341749694,0.055845672040871895,0.056538877827531336,0.05527592371556075,0.05804844936376653,0.057891603310634816,0.0567436914249464,0.0675580167149513,0.058431268337357775,0.056421914429286346,0.022912204425331623,0.02193058106394693,0.02070548933929387,0.020645243045191393,0.019597323008611174,0.0258692794500175,0.0264018343532945,0.021777364494086283,0.03611761196559921
