"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Bio_Category" "Call_type" "Notes"
40 "Spectrogram 1" 1 47651.27103 47655.89719 0 114.094 "2021/5/10" "19:01:00.2710" "19:01:05.8972" 4.6262 "uk" "uk" "lf rumble"
41 "Spectrogram 1" 1 47660.71028 47662.01869 0 114.094 "2021/5/10" "19:01:10.7103" "19:01:11.0187" 1.3084 "uk" "uk" "lf pulse"
43 "Spectrogram 1" 1 51211.81308 51218.68224 0 308.725 "2021/5/10" "20:00:21.8131" "20:00:28.6822" 6.8692 "uk" "uk" "lf rumble"
44 "Spectrogram 1" 1 51320 51322.33645 0 120.805 "2021/5/10" "20:02:09.0000" "20:02:11.3365" 2.3365 "uk" "uk" "lf pulse"
45 "Spectrogram 1" 1 52318.49532 52319.757 402.685 852.349 "2021/5/10" "20:18:48.4953" "20:18:49.7570" 1.2617 "fish" "p" ""
46 "Spectrogram 1" 1 54924.1215 54925.243 0 73.826 "2021/5/10" "21:02:13.1215" "21:02:14.2430" 1.1215 "uk" "uk" "lf pulse"
47 "Spectrogram 1" 1 54992.56075 54995.08411 0 127.517 "2021/5/10" "21:03:22.5607" "21:03:24.0841" 2.5234 "uk" "uk" "lf rumble"
48 "Spectrogram 1" 1 55154.74766 55156.75701 395.973 832.215 "2021/5/10" "21:06:04.7477" "21:06:06.7570" 2.0094 "fish" "p" ""
49 "Spectrogram 1" 1 58445.14953 58445.85047 0 73.826 "2021/5/10" "22:00:54.1495" "22:00:55.8505" 0.7009 "uk" "uk" "lf pulse"
50 "Spectrogram 1" 1 58473.6542 58477.06541 0 100.671 "2021/5/10" "22:01:23.6542" "22:01:26.0654" 3.4112 "uk" "uk" "lf rumble"
51 "Spectrogram 1" 1 58571.3271 58571.79439 389.262 677.852 "2021/5/10" "22:03:00.3271" "22:03:01.7944" 0.4673 "fish" "p" ""
53 "Spectrogram 1" 1 62064.64486 62065.43925 0 93.96 "2021/5/10" "23:01:14.6449" "23:01:15.4393" 0.7944 "uk" "uk" "lf pulse"
54 "Spectrogram 1" 1 62293.02803 62297.04672 0 147.651 "2021/5/10" "23:05:02.0280" "23:05:06.0467" 4.0187 "uk" "uk" "lf rumble"
55 "Spectrogram 1" 1 63543.43925 63546.05607 154.362 463.087 "2021/5/10" "23:25:51.4393" "23:25:54.0561" 2.6168 "fish" "p" ""
56 "Spectrogram 1" 1 65648.03738 65648.73831 0 127.517 "2021/5/11" "0:00:56.0374" "0:00:56.7383" 0.7009 "uk" "uk" "lf pulse"
57 "Spectrogram 1" 1 66549.63551 66553.56075 0 167.785 "2021/5/11" "0:15:57.6355" "0:16:01.5608" 3.9252 "uk" "uk" "lf rumble"
58 "Spectrogram 1" 1 66535.28972 66536.27103 120.805 530.201 "2021/5/11" "0:15:43.2897" "0:15:44.2710" 0.9813 "fish" "p" ""
59 "Spectrogram 1" 1 69224.68225 69226.27104 0 127.517 "2021/5/11" "1:00:32.6822" "1:00:34.2710" 1.5888 "uk" "uk" "lf pulse"
60 "Spectrogram 1" 1 69485.49532 69487.83177 355.705 751.678 "2021/5/11" "1:04:53.4953" "1:04:55.8318" 2.3365 "fish" "p" ""
62 "Spectrogram 1" 1 69942.99066 69947.75701 0 114.094 "2021/5/11" "1:12:31.9907" "1:12:35.7570" 4.7664 "uk" "uk" "lf rumble"
63 "Spectrogram 1" 1 72951.38319 72956.5701 0 154.362 "2021/5/11" "2:02:39.3832" "2:02:44.5701" 5.1869 "uk" "uk" "lf rumble"
64 "Spectrogram 1" 1 72964.28038 72965.63552 0 93.96 "2021/5/11" "2:02:52.2804" "2:02:53.6355" 1.3551 "uk" "uk" "lf pulse"
65 "Spectrogram 1" 1 74127.01869 74127.85981 181.208 503.356 "2021/5/11" "2:22:15.0187" "2:22:15.8598" 0.8411 "fish" "p" ""
66 "Spectrogram 1" 1 76474.98132 76476.85047 0 93.96 "2021/5/11" "3:01:23.9813" "3:01:24.8505" 1.8691 "uk" "uk" "lf pulse"
67 "Spectrogram 1" 1 78187.84113 78191.25235 13.423 154.362 "2021/5/11" "3:29:55.8411" "3:29:59.2523" 3.4112 "uk" "uk" "lf rumble"
68 "Spectrogram 1" 1 79063.75702 79067.26169 389.262 718.121 "2021/5/11" "3:44:31.7570" "3:44:35.2617" 3.5047 "fish" "p" ""
69 "Spectrogram 1" 1 80040.19627 80041.31776 0 107.383 "2021/5/11" "4:00:48.1963" "4:00:49.3178" 1.1215 "uk" "uk" "lf pulse"
70 "Spectrogram 1" 1 80188.45796 80191.35515 395.973 959.732 "2021/5/11" "4:03:16.4580" "4:03:19.3552" 2.8972 "fish" "p" ""
71 "Spectrogram 1" 1 80442.49533 80447.16822 0 120.805 "2021/5/11" "4:07:30.4953" "4:07:35.1682" 4.6729 "uk" "uk" "lf rumble"
72 "Spectrogram 1" 1 83610.13558 83614.43465 0 107.383 "2021/5/11" "5:00:18.1356" "5:00:22.4346" 4.2991 "uk" "uk" "lf rumble"
73 "Spectrogram 1" 1 83614.99539 83616.07016 0 134.228 "2021/5/11" "5:00:23.9954" "5:00:24.0702" 1.0748 "uk" "uk" "lf pulse"
74 "Spectrogram 1" 1 1890.864477 1895.070083 0 103.896 "2021/5/10" "6:18:21.8645" "6:18:26.0701" 4.2056 "uk" "uk" "lf rumble"
75 "Spectrogram 1" 1 2376.182216 2377.817729 0 103.896 "2021/5/10" "6:26:27.1822" "6:26:28.8177" 1.6355 "uk" "uk" "lf pulse"
76 "Spectrogram 1" 1 4430.144832 4431.499972 0 119.481 "2021/5/10" "7:00:41.1448" "7:00:42.5000" 1.3551 "uk" "uk" "lf pulse"
77 "Spectrogram 1" 1 33440.1892 33442.26908 15.584 114.286 "2021/5/10" "15:04:10.1892" "15:04:12.2691" 2.0799 "uk" "uk" "lf pulse"
78 "Spectrogram 1" 1 36904.32786 36908.84934 0 135.065 "2021/5/10" "16:01:54.3279" "16:01:59.8493" 4.5215 "uk" "uk" "lf pulse"
79 "Spectrogram 1" 1 37206.98649 37215.12515 10.39 119.481 "2021/5/10" "16:06:57.9865" "16:07:05.1251" 8.1387 "uk" "uk" "lf rumble"
80 "Spectrogram 1" 1 37430.673 37432.75288 410.39 659.74 "2021/5/10" "16:10:40.6730" "16:10:42.7529" 2.0799 "fish" "p" ""
81 "Spectrogram 1" 1 40517.70238 40519.23968 0 114.286 "2021/5/10" "17:02:07.7024" "17:02:09.2397" 1.5373 "uk" "uk" "lf pulse"
82 "Spectrogram 1" 1 40576.32786 40584.91867 0 254.545 "2021/5/10" "17:03:06.3279" "17:03:15.9187" 8.5908 "uk" "uk" "lf rumble"
83 "Spectrogram 1" 1 48174.66998 48176.02642 322.078 701.299 "2021/5/10" "19:09:44.6700" "19:09:45.0264" 1.3564 "fish" "p" ""
1 "Spectrogram 1" 1 96.10278912 101.7102638 288.591 825.503 "2021/5/11" "5:20:43.1028" "5:20:48.7103" 5.6075 "fish" "p" ""
2 "Spectrogram 1" 1 2460.607466 2467.009333 0 322.148 "2021/5/11" "6:00:07.6075" "6:00:14.0093" 6.4019 "uk" "uk" "lf rumble"
3 "Spectrogram 1" 1 2482.33643 2483.317738 0 147.651 "2021/5/11" "6:00:29.3364" "6:00:30.3177" 0.9813 "uk" "uk" "lf pulse"
4 "Spectrogram 1" 1 2867.186914 2868.448596 375.839 919.463 "2021/5/11" "6:06:54.1869" "6:06:55.4486" 1.2617 "fish" "p" ""
5 "Spectrogram 1" 1 6096.457927 6098.607459 80.537 523.49 "2021/5/11" "7:00:43.4579" "7:00:45.6075" 2.1495 "fish" "p" ""
6 "Spectrogram 1" 1 6112.233641 6112.981305 0 100.671 "2021/5/11" "7:00:59.2336" "7:00:59.9813" 0.7477 "uk" "uk" "lf pulse"
7 "Spectrogram 1" 1 6896.738304 6902.906526 6.711 147.651 "2021/5/11" "7:14:03.7383" "7:14:09.9065" 6.1682 "uk" "uk" "lf rumble"
8 "Spectrogram 1" 1 9656.112134 9657.140171 0 147.651 "2021/5/11" "8:00:03.1121" "8:00:04.1402" 1.028 "uk" "uk" "lf p"
9 "Spectrogram 1" 1 9670.065419 9674.03738 0 100.671 "2021/5/11" "8:00:17.0654" "8:00:21.0374" 3.972 "uk" "uk" "lf rumble"
10 "Spectrogram 1" 1 9677.542052 9678.52336 510.067 865.772 "2021/5/11" "8:00:24.5421" "8:00:25.5234" 0.9813 "fish" "p" ""
11 "Spectrogram 1" 1 9977.6355 9992.214934 0 953.02 "2021/5/11" "8:05:24.6355" "8:05:39.2149" 14.5794 "uk" "uk" ""
12 "Spectrogram 1" 1 13753.54671 13757.79904 0 234.899 "2021/5/11" "9:08:20.5467" "9:08:24.7990" 4.2523 "uk" "uk" "lf rumble"
13 "Spectrogram 1" 1 13761.58409 13764.43456 328.859 986.577 "2021/5/11" "9:08:28.5841" "9:08:31.4346" 2.8505 "fish" "p" ""
14 "Spectrogram 1" 1 13823.24764 13824.50932 0 134.228 "2021/5/11" "9:09:30.2476" "9:09:31.5093" 1.2617 "uk" "uk" "lf pulse"
15 "Spectrogram 1" 1 16451.44391 16462.19157 342.282 912.752 "2021/5/11" "9:53:18.4439" "9:53:29.1916" 10.7477 "fish" "p" "maybe not quite c"
16 "Spectrogram 1" 1 16861.43457 16865.12615 355.705 959.732 "2021/5/11" "10:00:08.4346" "10:00:12.1262" 3.6916 "fish" "p" ""
17 "Spectrogram 1" 1 16883.58409 16885.31306 13.423 208.054 "2021/5/11" "10:00:30.5841" "10:00:32.3131" 1.729 "uk" "uk" "lf pulse"
18 "Spectrogram 1" 1 17122.20091 17125.93922 0 268.456 "2021/5/11" "10:04:29.2009" "10:04:32.9392" 3.7383 "uk" "uk" "lf rumble"
19 "Spectrogram 1" 1 20471.91121 20473.0327 0 107.383 "2021/5/11" "11:00:18.9112" "11:00:20.0327" 1.1215 "uk" "uk" "lf pulse"
20 "Spectrogram 1" 1 20569.92988 20573.85511 13.423 214.765 "2021/5/11" "11:01:56.9299" "11:02:00.8551" 3.9252 "uk" "uk" "lf rumble"
21 "Spectrogram 1" 1 20635.6449 20639.6238 342.282 979.866 "2021/5/11" "11:03:02.6449" "11:03:06.6238" 3.9789 "fish" "p" ""
22 "Spectrogram 1" 1 20710.66821 20724.07942 248.322 1348.993 "2021/5/11" "11:04:17.6682" "11:04:31.0794" 13.4112 "uk" "uk" "bubbles"
23 "Spectrogram 1" 1 24058.17754 24061.30838 0 208.054 "2021/5/11" "12:00:04.1775" "12:00:07.3084" 3.1308 "uk" "uk" "lf pulse"
24 "Spectrogram 1" 1 24139.46725 24144.32706 288.591 1241.611 "2021/5/11" "12:01:25.4673" "12:01:30.3271" 4.8598 "fish" "p" ""
25 "Spectrogram 1" 1 24353.13081 24356.68221 0 93.96 "2021/5/11" "12:04:59.1308" "12:05:02.6822" 3.5514 "uk" "uk" "lf rumble"
26 "Spectrogram 1" 1 27678.60745 27679.72894 369.128 1020.134 "2021/5/11" "13:00:24.6074" "13:00:25.7289" 1.1215 "fish" "p" ""
27 "Spectrogram 1" 1 27686.03735 27687.25231 6.711 147.651 "2021/5/11" "13:00:31.0373" "13:00:33.2523" 1.215 "uk" "uk" "pulse"
28 "Spectrogram 1" 1 28044.73829 28047.44857 6.711 315.436 "2021/5/11" "13:06:30.7383" "13:06:33.4486" 2.7103 "uk" "uk" "lf rumble"
