"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Bio_Category" "Call_type" "Notes"
6 "Spectrogram 1" 1 3242.29508117 3252.349722488 1561.467 1933.245 "2020/9/9" "18:38:15.2951" "18:38:25.3497" 10.0546 "uk" "uk" "metal clanging"
9 "Spectrogram 1" 1 4610.218572215 4613.934417919 61.234 332.413 "2020/9/9" "19:01:03.2186" "19:01:06.9344" 3.7158 "uk" "uk" "lr"
11 "Spectrogram 1" 1 8226.85245247 8232.426221027 122.468 275.553 "2020/9/9" "20:01:19.8525" "20:01:25.4262" 5.5738 "uk" "uk" "lr"
13 "Spectrogram 1" 1 9540.885233094 9549.737689037 1014.735 1495.859 "2020/9/9" "20:23:13.8852" "20:23:22.7377" 8.8525 "uk" "uk" "squeak prob mn"
15 "Spectrogram 1" 1 12550.786877334 12560.404360333 1338.4 1990.105 "2020/9/9" "21:13:23.7869" "21:13:33.4044" 9.6175 "uk" "uk" "chirp prob mn"
20 "Spectrogram 1" 1 20907.945351738 20916.196714993 1102.212 1395.26 "2020/9/9" "23:32:40.9454" "23:32:49.1967" 8.2514 "uk" "uk" "creak"
9 "Spectrogram 1" 1 15404.808738027 15407.759556675 96.225 279.927 "2020/9/10" "4:00:51.8087" "4:00:54.7596" 2.9508 "uk" "lr" ""
1 "Spectrogram 1" 1 977.683058136 990.743162891 253.684 848.528 "2020/9/10" "0:00:24.6831" "0:00:37.7432" 13.0601 "mn" "song" ""
3 "Spectrogram 1" 1 4566.928951009 4576.27321006 297.422 835.407 "2020/9/10" "1:00:13.9290" "1:00:23.2732" 9.3443 "mn" "song" ""
5 "Spectrogram 1" 1 8217.672127789 8231.825128339 74.356 695.443 "2020/9/10" "2:01:04.6721" "2:01:18.8251" 14.153 "mn" "song" ""
6 "Spectrogram 1" 1 11772.874316636 11787.573765084 376.152 852.902 "2020/9/10" "3:00:19.8743" "3:00:34.5738" 14.6994 "mn" "song" ""
8 "Spectrogram 1" 1 15390.601092687 15402.404367278 113.72 1054.099 "2020/9/10" "4:00:37.6011" "4:00:49.4044" 11.8033 "mn" "song" ""
10 "Spectrogram 1" 1 18967.715842232 18981.595618833 174.954 677.948 "2020/9/10" "5:00:14.7158" "5:00:28.5956" 13.8798 "mn" "song" ""
2 "Spectrogram 1" 1 1793.7486298 1800.469938942 52.486 227.441 "2020/9/10" "0:14:00.7486" "0:14:07.4699" 6.7213 "uk" "uk" "lr"
4 "Spectrogram 1" 1 4576.765013168 4587.693971122 56.86 293.048 "2020/9/10" "1:00:23.7650" "1:00:34.6940" 10.929 "uk" "uk" "lr"
7 "Spectrogram 1" 1 11779.377046619 11783.038247533 87.477 262.431 "2020/9/10" "3:00:26.3770" "3:00:30.0382" 3.6612 "uk" "uk" "lr"
11 "Spectrogram 1" 1 20413.256830165 20416.480872761 48.112 314.918 "2020/9/10" "5:24:20.2568" "5:24:23.4809" 3.224 "uk" "lr" ""
1 "Spectrogram 1" 1 13.825131812 25.519116822 69.982 559.854 "2020/9/10" "5:44:15.8251" "5:44:27.5191" 11.694 "mn" "song" ""
3 "Spectrogram 1" 1 980.032784096 992.983599271 253.684 686.695 "2020/9/10" "6:00:22.0328" "6:00:34.9836" 12.9508 "mn" "song" ""
5 "Spectrogram 1" 1 5896.109286107 5909.387970021 104.973 905.388 "2020/9/10" "7:22:18.1093" "7:22:31.3880" 13.2787 "mn" "song" ""
7 "Spectrogram 1" 1 8219.584695431 8230.568298175 122.468 730.434 "2020/9/10" "8:01:01.5847" "8:01:12.5683" 10.9836 "mn" "song" ""
9 "Spectrogram 1" 1 11773.420764534 11785.224039124 144.337 739.182 "2020/9/10" "9:00:15.4208" "9:00:27.2240" 11.8033 "mn" "song" ""
12 "Spectrogram 1" 1 19122.99453309 19136.710375323 61.234 581.723 "2020/9/10" "11:02:44.9945" "11:02:58.7104" 13.7158 "mn" "song" ""
2 "Spectrogram 1" 1 27.049170936 31.912557225 69.982 288.675 "2020/9/10" "5:44:29.0492" "5:44:33.9126" 4.8634 "uk" "uk" "lr"
4 "Spectrogram 1" 1 1004.786873862 1009.704904941 135.59 319.292 "2020/9/10" "6:00:46.7869" "6:00:51.7049" 4.918 "uk" "uk" "lr"
6 "Spectrogram 1" 1 5924.524576787 5927.584685014 100.599 345.535 "2020/9/10" "7:22:46.5246" "7:22:49.5847" 3.0601 "uk" "uk" "lr"
8 "Spectrogram 1" 1 8403.606545708 8406.557364356 52.486 345.535 "2020/9/10" "8:04:05.6065" "8:04:08.5574" 2.9508 "uk" "uk" "lr"
10 "Spectrogram 1" 1 11908.36064589 11911.311464538 69.982 341.161 "2020/9/10" "9:02:30.3606" "9:02:33.3115" 2.9508 "uk" "uk" "lr"
11 "Spectrogram 1" 1 12179.289607316 12188.907090316 861.65 1456.494 "2020/9/10" "9:07:01.2896" "9:07:10.9071" 9.6175 "uk" "uk" "squeak mn?"
13 "Spectrogram 1" 1 19159.387963077 19162.174847355 131.216 306.17 "2020/9/10" "11:03:21.3880" "11:03:24.1748" 2.7869 "uk" "uk" "lr"
15 "Spectrogram 1" 1 17505.289614261 17527.420754117 774.173 1443.373 "2020/9/10" "16:35:43.2896" "16:36:05.4208" 22.1311 "fish" "c" ""
3 "Spectrogram 1" 1 4362.131132912 4366.721295253 813.537 1089.09 "2020/9/10" "12:56:40.1311" "12:56:44.7213" 4.5902 "fish" "p" ""
6 "Spectrogram 1" 1 5078.994515729 5080.907083371 791.668 1128.455 "2020/9/10" "13:08:36.9945" "13:08:38.9071" 1.9126 "fish" "p" ""
12 "Spectrogram 1" 1 13009.016376423 13011.202168014 870.397 1207.184 "2020/9/10" "15:20:47.0164" "15:20:49.2022" 2.1858 "fish" "p" ""
16 "Spectrogram 1" 1 18880.863375873 18883.103812253 796.042 1089.09 "2020/9/10" "16:58:38.8634" "16:58:41.1038" 2.2404 "fish" "p" ""
1 "Spectrogram 1" 1 974.40437075 989.923491044 297.422 940.379 "2020/9/10" "12:00:12.4044" "12:00:27.9235" 15.5191 "mn" "song" ""
4 "Spectrogram 1" 1 4624.426217555 4629.890696532 354.282 892.267 "2020/9/10" "13:01:02.4262" "13:01:07.8907" 5.4645 "mn" "song" ""
8 "Spectrogram 1" 1 8217.617482999 8224.065568192 306.17 1084.716 "2020/9/10" "14:00:55.6175" "14:01:02.0656" 6.4481 "mn" "song" ""
10 "Spectrogram 1" 1 11838.513656857 11846.710375323 109.346 796.042 "2020/9/10" "15:01:16.5137" "15:01:24.7104" 8.1967 "mn" "song" ""
13 "Spectrogram 1" 1 15417.759553203 15430.437144429 284.301 800.416 "2020/9/10" "16:00:55.7596" "16:01:08.4371" 12.6776 "mn" "song" ""
17 "Spectrogram 1" 1 19030.076495067 19043.57375814 542.358 874.771 "2020/9/10" "17:01:08.0765" "17:01:21.5738" 13.4973 "mn" "song" ""
2 "Spectrogram 1" 1 1007.846982089 1011.180314265 126.842 371.778 "2020/9/10" "12:00:45.8470" "12:00:49.1803" 3.3333 "uk" "uk" "lr"
5 "Spectrogram 1" 1 4667.060101283 4670.666657407 48.112 446.133 "2020/9/10" "13:01:45.0601" "13:01:48.6667" 3.6066 "uk" "uk" "lr"
7 "Spectrogram 1" 1 5153.825128339 5156.01091993 1150.324 1907.001 "2020/9/10" "13:09:51.8251" "13:09:54.0109" 2.1858 "uk" "uk" "metal clang"
9 "Spectrogram 1" 1 8257.016376423 8261.497249184 139.963 437.386 "2020/9/10" "14:01:35.0164" "14:01:39.4972" 4.4809 "uk" "uk" "lr"
11 "Spectrogram 1" 1 11925.245885929 11929.562824321 118.094 384.899 "2020/9/10" "15:02:43.2459" "15:02:47.5628" 4.3169 "uk" "uk" "lr"
14 "Spectrogram 1" 1 15446.732239488 15450.721309142 30.617 354.282 "2020/9/10" "16:01:24.7322" "16:01:28.7213" 3.9891 "uk" "uk" "lr"
18 "Spectrogram 1" 1 19035.158460515 19038.983595799 65.608 358.656 "2020/9/10" "17:01:13.1585" "17:01:16.9836" 3.8251 "uk" "uk" "lr"
19 "Spectrogram 1" 1 20746.928957954 20761.027313714 800.416 1369.017 "2020/9/10" "17:29:44.9290" "17:29:59.0273" 14.0984 "fish" "c" ""
12 "Spectrogram 1" 1 12218.26229013 12237.551900918 747.929 1036.604 "2020/9/10" "21:07:33.2623" "21:07:52.5519" 19.2896 "fish" "c" ""
14 "Spectrogram 1" 1 15417.486329254 15430.710368378 704.191 1071.595 "2020/9/10" "22:00:52.4863" "22:01:05.7104" 13.224 "fish" "c" ""
3 "Spectrogram 1" 1 58.262293602 61.704915357 936.005 1207.184 "2020/9/10" "17:44:53.2623" "17:44:56.7049" 3.4426 "fish" "p" ""
5 "Spectrogram 1" 1 1098.797807681 1103.879773129 901.014 1211.558 "2020/9/10" "18:02:13.7978" "18:02:18.8798" 5.082 "fish" "p" ""
1 "Spectrogram 1" 1 7.04917788 17.049174408 284.301 756.677 "2020/9/10" "17:44:02.0492" "17:44:12.0492" 10 "mn" "song" ""
4 "Spectrogram 1" 1 1080.491803108 1088.907100732 262.431 581.723 "2020/9/10" "18:01:55.4918" "18:02:03.9071" 8.4153 "mn" "song" ""
6 "Spectrogram 1" 1 4654.437154846 4669.464472032 196.824 896.641 "2020/9/10" "19:01:29.4372" "19:01:44.4645" 15.0273 "mn" "song" ""
