"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Bio_Category" "Call_type" "Notes"
41 "Spectrogram 1" 1 31822.017485025 31825.653006427 390.411 580.479 "2019/9/25" "13:42:42.0175" "13:42:45.6530" 3.6355 "" "" "? looks similar to fish chorusing but not sure if it is. couild also be vessel with mn sounds [yes, this is a vessel -- JM]"
43 "Spectrogram 1" 1 32860.487536693 32861.84738821 87.912 252.747 "2019/9/25" "14:00:00.4875" "14:00:02.8474" 1.3599 "mn" "song" ""
45 "Spectrogram 1" 1 34512.022240894 34513.243332052 12.552 251.044 "2019/9/25" "14:27:32.0222" "14:27:33.2433" 1.2211 "uk" "uk" "LF thump"
46 "Spectrogram 1" 1 36461.822423894 36463.931581348 546.02 815.892 "2019/9/25" "15:00:01.8224" "15:00:04.9316" 2.1092 "mn" "song" ""
47 "Spectrogram 1" 1 37212.993563406 37213.881629702 0 1180.392 "2019/9/25" "15:12:33.9936" "15:12:34.8816" 0.8881 "uk" "uk" "loud pop [surface activity! most likely from Mn -- JM]"
48 "Spectrogram 1" 1 37771.353124215 37789.069601611 5.435 144.928 "2019/9/25" "15:21:51.3531" "15:22:09.0696" 17.7165 "uk" "uk" "LF pulses [not sure what these are...pulses ~15:22:10 look like possible baleen whale? ask Gen + Tim --JM]"
49 "Spectrogram 1" 1 40119.402430735 40121.567092333 250 706.522 "2019/9/25" "16:00:59.4024" "16:01:01.5671" 2.1647 "mn" "song" ""
50 "Spectrogram 1" 1 41831.361732135 41839.354328804 1106.464 1711.027 "2019/9/25" "16:29:31.3617" "16:29:39.3543" 7.9926 "uk" "uk" "I assume this is also mn but it sounds like little cricket chirps and I haven't heard it yet"
51 "Spectrogram 1" 1 43675.576345379 43678.018527694 285.171 684.411 "2019/9/25" "17:00:14.5763" "17:00:17.0185" 2.4422 "mn" "song" ""
52 "Spectrogram 1" 1 45306.831541814 45307.459499514 0 177.449 "2019/9/25" "17:27:26.8315" "17:27:26.4595" 0.628 "uk" "uk" "LF pulses [sim to downsweeps in 10:00 hour, likely baleen whale! -- JM]"
53 "Spectrogram 1" 1 46637.279408981 46639.241776795 24.198 298.437 "2019/9/25" "17:49:36.2794" "17:49:38.2418" 1.9624 "mn" "song" "[mn song, not fish -- JM]"
54 "Spectrogram 1" 1 47298.405205866 47303.511587072 72.593 411.359 "2019/9/25" "18:00:37.4052" "18:00:42.5116" 5.1064 "mn" "song" ""
55 "Spectrogram 1" 1 47883.080509752 47886.299750077 40.329 225.844 "2019/9/25" "18:10:22.0805" "18:10:25.2998" 3.2192 "mn" "song" "[mn song, not fish -- JM]"
56 "Spectrogram 1" 1 50868.621669943 50870.675323254 80.659 233.91 "2019/9/25" "19:00:08.6217" "19:00:10.6753" 2.0537 "mn" "song" ""
57 "Spectrogram 1" 1 53620.123983484 53623.287719665 72.593 1564.776 "2019/9/25" "19:45:59.1240" "19:46:02.2877" 3.1637 "uk" "uk" "clicks [no idea, could be noise from the recorder itself or something rubbing on hydrophone --JM]"
