dep,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_10,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_11,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_12,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_3,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_4,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_5,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_6,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_7,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_8,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_9,PARKSAUSTRALIA_JURIEN_202201_JNE_2,PARKSAUSTRALIA_JURIEN_202201_JNE_3,PARKSAUSTRALIA_JURIEN_202201_JNE_4,PARKSAUSTRALIA_JURIEN_202201_JNE_5,PARKSAUSTRALIA_JURIEN_202201_JNE_6,PARKSAUSTRALIA_JURIEN_202201_JNE_7,PARKSAUSTRALIA_JURIEN_202201_JNE_8,PARKSAUSTRALIA_JURIEN_202201_JNE_9,PARKSAUSTRALIA_MURAT_202002_MRE_10,PARKSAUSTRALIA_MURAT_202002_MRE_11,PARKSAUSTRALIA_MURAT_202002_MRE_12,PARKSAUSTRALIA_MURAT_202002_MRE_13,PARKSAUSTRALIA_MURAT_202002_MRE_14,PARKSAUSTRALIA_MURAT_202002_MRE_15,PARKSAUSTRALIA_MURAT_202002_MRE_16,PARKSAUSTRALIA_MURAT_202002_MRE_17,PARKSAUSTRALIA_MURAT_202002_MRE_7,PARKSAUSTRALIA_MURAT_202002_MRE_8,PARKSAUSTRALIA_MURAT_202002_MRE_9,PARKSAUSTRALIA_SWC_202201_SWS_10,PARKSAUSTRALIA_SWC_202201_SWS_11,PARKSAUSTRALIA_SWC_202201_SWS_12,PARKSAUSTRALIA_SWC_202201_SWS_13,PARKSAUSTRALIA_SWC_202201_SWS_14,PARKSAUSTRALIA_SWC_202201_SWS_4,PARKSAUSTRALIA_SWC_202201_SWS_5,PARKSAUSTRALIA_SWC_202201_SWS_6,PARKSAUSTRALIA_SWC_202201_SWS_7,PARKSAUSTRALIA_SWC_202201_SWS_8,PARKSAUSTRALIA_SWC_202201_SWS_9,PARKSAUSTRALIA_TWOROCKS_202105_TRW_20,PARKSAUSTRALIA_TWOROCKS_202105_TRW_21,PARKSAUSTRALIA_TWOROCKS_202105_TRW_22,PARKSAUSTRALIA_TWOROCKS_202105_TRW_23,PARKSAUSTRALIA_TWOROCKS_202105_TRW_24,PARKSAUSTRALIA_TWOROCKS_202105_TRW_27,PARKSAUSTRALIA_TWOROCKS_202105_TRW_28,PARKSAUSTRALIA_TWOROCKS_202105_TRW_29,PARKSAUSTRALIA_TWOROCKS_202105_TRW_30
PARKSAUSTRALIA_SWC_202201_SWS_8,0.08732630422215794,0.07335373961023782,0.07185142674897681,0.07371477929291756,0.051129191404336596,0.05767929903538596,0.06634470063546904,0.07116176328584722,0.05942060917987257,0.07139482404267711,0.005224629128130678,0.008853414941648787,0.005767326546964455,0.00794087079084711,0.005151733438336734,0.008309417218648642,0.0057737734704789035,0.006797681625972013,0.02544401918606787,0.03088533693989132,0.04641735029115135,0.04769477463549298,0.05767907717116517,0.04078088607462915,0.05199562269351745,0.0533225232043966,0.0326640866023274,0.033185935738711723,0.04527005995596873,0.01037893158923875,0.002748395788975435,0.0036616330563687357,0.0029164962964175084,0.004034060013361401,0.0021333006820407744,0.004021231792372769,0.003419413540781817,0.022228567241309012,0,0.002628377743512119,0.0723698161886411,0.04938332844810556,0.06858185934410357,0.0505175782826794,0.05138993484458283,0.03654048065487344,0.037825460936021515,0.04475359772818319,0.02815114179714007
PARKSAUSTRALIA_SWC_202201_SWS_9,0.08538115318720892,0.07138396351543147,0.06987873438621922,0.07176683600411701,0.049131672191280576,0.05571203625115509,0.06438409743430643,0.06918095664119028,0.05741537034780237,0.06944133699885068,0.00681620774493255,0.008830584232950101,0.007802283721888169,0.008659947558245134,0.006802963754539251,0.008537857887640086,0.007893251446423619,0.008614219876379729,0.024124831845469687,0.029013111193444796,0.04452052991258221,0.04592255180533543,0.056350559438647724,0.03895863586638214,0.0505486284170491,0.052149722539774165,0.030646699647579507,0.031352201589852476,0.04361603265980997,0.011622580063030604,0.003622518191008131,0.0011666557040768645,0.0013574231388300624,0.0033044966988990676,0.0023042900467037304,0.003286000704977745,0.001613258586832703,0.0245370922526516,0.002628377743512119,0,0.07084415425091921,0.04801065607976328,0.06708712524500743,0.04902497457557521,0.04996602702132807,0.03505962550033853,0.036437808651151433,0.04326916450982097,0.026906236540691162
PARKSAUSTRALIA_TWOROCKS_202105_TRW_20,0.027391143433545775,0.015020608314301858,0.015409608828865018,0.01742295040308589,0.02521673966149115,0.019551184060993845,0.013584700122522069,0.013335701930457326,0.018800660066750442,0.016502384092721457,0.07519271753606918,0.07143499196534149,0.07599494532927736,0.07389949996852001,0.0750924421407262,0.07282411660991997,0.07503255386875418,0.07373943421079034,0.04873683618458155,0.043177387707375725,0.02742460686611013,0.025667753505487154,0.015698133386062598,0.03298488478836697,0.020804957963161945,0.020154554730270384,0.04193546668115178,0.04133587990103457,0.029281647529685127,0.07380815674153755,0.0725496747777102,0.07056741902285678,0.0709773312983269,0.06945804501121315,0.0723460665415671,0.07142428511161872,0.0711156703029302,0.08140270251536261,0.0723698161886411,0.07084415425091921,0,0.025456827634331703,0.005324173006007478,0.02230490457719332,0.02181610909687393,0.036033438804023384,0.03512664904096989,0.027961510792484726,0.04762290472565903
PARKSAUSTRALIA_TWOROCKS_202105_TRW_21,0.04892362822119348,0.03227341047459067,0.031234836423249125,0.03458694098240526,0.013579332794911669,0.017877733159778652,0.026821603940913222,0.03022853569838562,0.018583040152762926,0.032592738041416,0.05215575535102312,0.04818558947718751,0.052836069124043906,0.05076572017190835,0.05199397162760836,0.04939489106421572,0.05182079119292581,0.05034023349619763,0.025504821587752916,0.01996611614609278,0.007528238133485568,0.007545751929114558,0.014443858274570986,0.011136348574508542,0.010603117868206072,0.011024731282113877,0.01873751660105815,0.018143451671382718,0.007287860894927135,0.05024802446229828,0.04955573117287712,0.04775247766783505,0.048025346495393646,0.04639751601850385,0.04945149606803194,0.04865394918328954,0.04825996070451061,0.05626708034045405,0.04938332844810556,0.04801065607976328,0.025456827634331703,0,0.02255149321621503,0.007918232176141222,0.006474101749958754,0.013115994868704307,0.011609496676640574,0.006066648746042889,0.023011768619106567
PARKSAUSTRALIA_TWOROCKS_202105_TRW_22,0.029412494811461944,0.014516581673494502,0.014253029856338164,0.01789595978466982,0.02087719505869527,0.014948612516021694,0.011992903423610668,0.012687131039845279,0.014554351088944286,0.01595586924454781,0.07129254027382724,0.0677387040740246,0.07207437562999287,0.06996703190749202,0.07120867936118704,0.06927830425342887,0.07113485102262998,0.07017325235161027,0.04523510994353753,0.03965578862540001,0.023852125427240144,0.022156489002229933,0.012804404467428063,0.029442621698083177,0.017434491028235414,0.016871966927208243,0.03841185693392466,0.03782867245662418,0.025989613960063676,0.07026474156433361,0.06875652889369091,0.06680830957303813,0.06720559821081393,0.0656673026527627,0.06857858125688006,0.06763327404873293,0.06735958258044526,0.07846917584132153,0.06858185934410357,0.06708712524500743,0.005324173006007478,0.02255149321621503,0,0.018177825082208124,0.01863403641789986,0.032504987874552735,0.03174073312978976,0.024175540358494656,0.044600533360777427
PARKSAUSTRALIA_TWOROCKS_202105_TRW_23,0.0426242940150095,0.025945301410900994,0.02489368469979539,0.028680873657686488,0.008180460427032056,0.011908230497169634,0.02050044698340998,0.023889231296138444,0.012522762049258302,0.026290953235067197,0.05331696004015804,0.05078362728846368,0.05414320886674801,0.05218802890198424,0.05327360782473625,0.05248231647525945,0.05355067064460782,0.05338309492419626,0.027169412090005125,0.021630926243820937,0.007174355775656187,0.006666787530119045,0.013218059877209634,0.011676828390411875,0.0081908008243057,0.009980412311726793,0.020431018513310847,0.019901250533064133,0.010232862624260172,0.053218012237742335,0.05071933007730483,0.048744801154914925,0.04914863868403449,0.04765464533717274,0.050516190681520995,0.04958664097755348,0.049294201277702204,0.06190008206623005,0.0505175782826794,0.04902497457557521,0.02230490457719332,0.007918232176141222,0.018177825082208124,0,0.005030650680490068,0.015085853387437254,0.01468259782482112,0.0070221933614130795,0.028001254164259082
PARKSAUSTRALIA_TWOROCKS_202105_TRW_24,0.04558831431517094,0.02858365185879699,0.02766198176908882,0.03132898697425999,0.012643368218592995,0.0148626594331396,0.02342287965929309,0.02666459811349732,0.01560696823520021,0.029239753723858966,0.054159967751137836,0.05026242573811818,0.05488526358529507,0.05280061836410976,0.0540321175914587,0.05164253068484512,0.05389861312615063,0.05259175666815894,0.027689291833165892,0.022159406706584905,0.008735660251791405,0.008665286603938227,0.013036388069491932,0.012722716820946082,0.010068423203169419,0.00977324997519113,0.020933352806186672,0.020354570387294324,0.00946923819893586,0.052434438811348995,0.051547589014135885,0.04969267886325168,0.04998896492521896,0.04841330338818533,0.05143087008979252,0.050545173576514335,0.050223558994634904,0.059898360776647674,0.05138993484458283,0.04996602702132807,0.02181610909687393,0.006474101749958754,0.01863403641789986,0.005030650680490068,0,0.014962142093239662,0.013771384703717002,0.0077199548297751655,0.02623982039638679
PARKSAUSTRALIA_TWOROCKS_202105_TRW_27,0.05668504092793548,0.04076061481670353,0.03957515735808601,0.04256663748222,0.018839906235575913,0.02596743047165198,0.03485947636829385,0.038574386906434624,0.026630325023485158,0.04044605045059221,0.03949824293404247,0.03621700044300583,0.0402425863894898,0.03824742865306279,0.039323318385099476,0.037760361385667275,0.039371214220342114,0.0386848556664019,0.013012168082366406,0.007931321476158259,0.01268332974098853,0.013901599712278537,0.023891393466704762,0.006977961829900866,0.018699437108342213,0.02016877903820608,0.007225092177899707,0.007175831649336619,0.010604686734844953,0.03838946697765518,0.03671701788644619,0.03477552395940728,0.035152094206341605,0.033576909438305914,0.036537926681870496,0.0359345626642564,0.035310295634909936,0.04682259051948537,0.03654048065487344,0.03505962550033853,0.036033438804023384,0.013115994868704307,0.032504987874552735,0.015085853387437254,0.014962142093239662,0,0.002904903859349626,0.008497734477561468,0.01309761335437764
PARKSAUSTRALIA_TWOROCKS_202105_TRW_28,0.05605711600360438,0.04014816906281153,0.03895554083627323,0.04193964766580013,0.018214900755516152,0.025335108614918812,0.03423288792835384,0.03795392305057619,0.025998809326026082,0.03981194623568775,0.040649356806992436,0.03700156475296159,0.0413554679118599,0.0392806791742581,0.04048566747768749,0.03843176639136091,0.04036759243220704,0.039389378174037044,0.014573376550066963,0.009129495112183302,0.012388270889124068,0.013547266653756156,0.023053562973937795,0.007094818006294391,0.01809440061204424,0.019374337953374583,0.00836052631998622,0.008431184631570807,0.010528843464833005,0.039063494940628656,0.03798984213166183,0.03618029902719185,0.03645401202665617,0.03484066543147688,0.037882741996399516,0.037091377391539504,0.036691793866820734,0.047301576021522726,0.037825460936021515,0.036437808651151433,0.03512664904096989,0.011609496676640574,0.03174073312978976,0.01468259782482112,0.013771384703717002,0.002904903859349626,0,0.008114725523318518,0.01339316838733518
PARKSAUSTRALIA_TWOROCKS_202105_TRW_29,0.049336277543153194,0.03288685278812212,0.0318246222711069,0.035063126541349236,0.012157285126465115,0.018353925890333644,0.02729714210404357,0.03082066145561517,0.018997176002621283,0.0330295898186708,0.04763674608306074,0.04441273116271653,0.048413114675875196,0.04633790132780885,0.047502549681050554,0.046031525291885984,0.04749163998959133,0.04695235107286727,0.021166662602667273,0.015601269852303092,0.0065299824488659446,0.00726762182887072,0.016345981698775047,0.007071688865130607,0.011345718244509749,0.012584009588010474,0.014368505983375997,0.013799085930474103,0.005918541609602795,0.046700724764342026,0.04492682873369429,0.04298067938013263,0.04337119715010396,0.04181401040561332,0.04475837974061625,0.04388415372132101,0.04352721383769056,0.055159126391551024,0.04475359772818319,0.04326916450982097,0.027961510792484726,0.006066648746042889,0.024175540358494656,0.0070221933614130795,0.0077199548297751655,0.008497734477561468,0.008114725523318518,0,0.021315124483150392
