name,r2,value
npz_id,0.47443396379569824,0.001
light_reg,0.023518614414894112,0.848
hbw_pres,0.6824268933689976,0.001
rain_month_avg_mm,0.5929680784648691,0.001
fish_c_pres,0.25652987238706737,0.019
dol_pres,0.11896237683800252,0.175
month_UTC,0.09875157216002732,0.209
shr_pres,0.09094963225707658,0.308
ves_pres,0.0700058254373628,0.364
bal_pres,0.017880896803646646,0.748
mnk_pres,0.015269642693735484,0.8
