"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Bio_Category" "Call_type" "Notes"
30 "Spectrogram 1" 1 3716.658795227 3718.113114512 4707.083 6717.966 "2022/1/18" "17:19:14.6588" "17:19:16.1131" 1.4543 "uk" "uk" "snapping shrimp?"
31 "Spectrogram 1" 1 3768.902418764 3773.82473019 4891.146 6032.333 "2022/1/18" "17:20:06.9024" "17:20:11.8247" 4.9223 "uk" "uk" ""
32 "Spectrogram 1" 1 3809.064005166 3809.847100166 262.289 409.539 "2022/1/18" "17:20:47.0640" "17:20:47.8471" 0.7831 "uk" "uk" "very small line, unsure if significant"
33 "Spectrogram 1" 1 3908.192663779 3926.53946091 6274.545 6900.357 "2022/1/18" "17:22:26.1927" "17:22:44.5395" 18.3468 "uk" "uk" "higher frequency shadow, unsure if significant"
34 "Spectrogram 1" 1 3947.906767324 3949.584828038 82.828 1767 "2022/1/18" "17:23:05.9068" "17:23:07.5848" 1.6781 "uk" "uk" "'croak' sound similar to earlier"
35 "Spectrogram 1" 1 4024.538206559 4026.775620844 487.766 3581.888 "2022/1/18" "17:24:22.5382" "17:24:24.7756" 2.2374 "uk" "uk" "snapping shrimp"
36 "Spectrogram 1" 1 4086.302046626 4091.224358051 331.313 681.031 "2022/1/18" "17:25:24.3020" "17:25:29.2244" 4.9223 "fish" "p" "pulses seem slightly different than previous in hour, but maybe not different enough"
37 "Spectrogram 1" 1 4462.489730384 4466.964558952 3867.111 4469.916 "2022/1/18" "17:31:40.4897" "17:31:44.9646" 4.4748 "uk" "uk" "shadow"
38 "Spectrogram 1" 1 4692.294589018 4705.942816151 6502.678 7229.725 "2022/1/18" "17:35:30.2946" "17:35:43.9428" 13.6482 "uk" "uk" "high frequency pulses, at an angle?"
39 "Spectrogram 1" 1 5048.848966853 5051.310122566 2768.567 3518.622 "2022/1/18" "17:41:26.8490" "17:41:29.3101" 2.4612 "uk" "uk" "single-line shaodw, slightly audible"
40 "Spectrogram 1" 1 6201.720166498 6205.635641496 443.77 570.562 "2022/1/18" "18:00:39.7202" "18:00:43.6356" 3.9155 "uk" "uk" "[JM-- probably just ambient noise; not sure there's a signal here] could this be a faint humpback whale song?"
