Dep_ID,iso_week_UTC,n_days,n_hours,bal_count,hbw_count,fish_c_count,dol_count,ves_count,mnk_count,spwh_count,bal_pres,hbw_pres,fish_c_pres,dol_pres,ves_pres,mnk_pres,spwh_pres
CGMP_201807_CG,27,7,168,0,164,10,13,22,0,0,0,0.9761904761904762,0.05952380952380952,0.07738095238095238,0.13095238095238096,0,0
CGMP_201807_CG,28,7,168,1,163,42,39,44,0,0,0.005952380952380952,0.9702380952380952,0.25,0.23214285714285715,0.2619047619047619,0,0
CGMP_201807_CG,29,7,166,0,164,16,11,58,0,0,0,0.9879518072289156,0.0963855421686747,0.06626506024096386,0.3493975903614458,0,0
CGMP_201807_CG,30,7,168,0,165,32,13,65,0,0,0,0.9821428571428571,0.19047619047619047,0.07738095238095238,0.3869047619047619,0,0
CGMP_201812_CG,1,7,168,0,3,16,22,32,0,0,0,0.017857142857142856,0.09523809523809523,0.13095238095238096,0.19047619047619047,0,0
CGMP_201812_CG,2,7,168,0,2,34,32,63,0,0,0,0.011904761904761904,0.20238095238095238,0.19047619047619047,0.375,0,0
CGMP_201812_CG,3,7,168,0,4,26,10,30,0,0,0,0.023809523809523808,0.15476190476190477,0.05952380952380952,0.17857142857142858,0,0
CGMP_201812_CG,4,7,168,1,3,24,16,39,0,0,0.005952380952380952,0.017857142857142856,0.14285714285714285,0.09523809523809523,0.23214285714285715,0,0
CGMP_201812_CG,5,7,168,2,5,54,7,19,0,0,0.011904761904761904,0.02976190476190476,0.32142857142857145,0.041666666666666664,0.1130952380952381,0,0
CGMP_201812_CG,6,7,168,2,5,31,31,51,0,0,0.011904761904761904,0.02976190476190476,0.18452380952380953,0.18452380952380953,0.30357142857142855,0,0
CGMP_201812_CG,7,7,168,0,1,39,4,20,0,0,0,0.005952380952380952,0.23214285714285715,0.023809523809523808,0.11904761904761904,0,0
CGMP_201812_CG,51,7,168,0,5,23,27,41,0,0,0,0.02976190476190476,0.13690476190476192,0.16071428571428573,0.24404761904761904,0,0
CGMP_201812_CG,52,7,168,0,6,15,19,16,0,0,0,0.03571428571428571,0.08928571428571429,0.1130952380952381,0.09523809523809523,0,0
CGMP_201904_CG,17,7,168,3,0,47,1,45,3,0,0.017857142857142856,0,0.27976190476190477,0.005952380952380952,0.26785714285714285,0.017857142857142856,0
CGMP_201904_CG,18,7,168,6,1,30,0,25,6,0,0.03571428571428571,0.005952380952380952,0.17857142857142858,0,0.1488095238095238,0.03571428571428571,0
CGMP_201904_CG,19,7,168,5,0,35,2,25,5,0,0.02976190476190476,0,0.20833333333333334,0.011904761904761904,0.1488095238095238,0.02976190476190476,0
CGMP_201904_CG,20,7,168,22,1,29,1,59,22,0,0.13095238095238096,0.005952380952380952,0.17261904761904762,0.005952380952380952,0.35119047619047616,0.13095238095238096,0
CGMP_201904_CG,21,7,168,81,3,23,1,53,81,0,0.48214285714285715,0.017857142857142856,0.13690476190476192,0.005952380952380952,0.31547619047619047,0.48214285714285715,0
CGMP_201904_CG,22,7,168,100,52,32,1,21,100,0,0.5952380952380952,0.30952380952380953,0.19047619047619047,0.005952380952380952,0.125,0.5952380952380952,0
CGMP_201904_CG,23,7,168,17,110,9,0,28,17,0,0.10119047619047619,0.6547619047619048,0.05357142857142857,0,0.16666666666666666,0.10119047619047619,0
CGMP_201904_CG,24,7,168,31,139,28,0,63,31,0,0.18452380952380953,0.8273809523809523,0.16666666666666666,0,0.375,0.18452380952380953,0
CGMP_201904_CG,25,7,168,4,158,18,0,18,4,0,0.023809523809523808,0.9404761904761905,0.10714285714285714,0,0.10714285714285714,0.023809523809523808,0
DAMPIER_202009_DNE,38,7,168,0,144,58,43,15,0,0,0,0.8571428571428571,0.34523809523809523,0.25595238095238093,0.08928571428571429,0,0
DAMPIER_202009_DNE,39,7,168,0,154,100,16,22,0,0,0,0.9166666666666666,0.5952380952380952,0.09523809523809523,0.13095238095238096,0,0
DAMPIER_202009_DNE,40,7,168,0,83,74,8,29,0,0,0,0.49404761904761907,0.44047619047619047,0.047619047619047616,0.17261904761904762,0,0
DAMPIER_202009_DNE,41,7,168,0,45,109,21,14,0,0,0,0.26785714285714285,0.6488095238095238,0.125,0.08333333333333333,0,0
DAMPIER_202009_DNE,42,7,168,0,25,123,15,10,0,0,0,0.1488095238095238,0.7321428571428571,0.08928571428571429,0.05952380952380952,0,0
DAMPIER_202009_DNE,43,7,168,0,4,111,7,8,0,0,0,0.023809523809523808,0.6607142857142857,0.041666666666666664,0.047619047619047616,0,0
DAMPIER_202009_DNE,44,7,168,0,0,120,7,17,0,0,0,0,0.7142857142857143,0.041666666666666664,0.10119047619047619,0,0
MURAT_202002_MRE,7,7,168,19,0,28,20,0,0,0,0.1130952380952381,0,0.16666666666666666,0.11904761904761904,0,0,0
MURAT_202002_MRE,8,7,168,0,0,20,13,0,0,0,0,0,0.11904761904761904,0.07738095238095238,0,0,0
MURAT_202002_MRE,9,7,168,1,0,25,10,0,0,0,0.005952380952380952,0,0.1488095238095238,0.05952380952380952,0,0,0
MURAT_202002_MRE,10,7,168,18,0,25,31,0,0,0,0.10714285714285714,0,0.1488095238095238,0.18452380952380953,0,0,0
MURAT_202002_MRE,11,7,168,6,0,26,55,0,0,0,0.03571428571428571,0,0.15476190476190477,0.3273809523809524,0,0,0
MURAT_202002_MRE,12,7,168,3,0,27,88,1,0,0,0.017857142857142856,0,0.16071428571428573,0.5238095238095238,0.005952380952380952,0,0
