"","Begin_Date","Begin_Hour","bal_uk","dol_bp","dol_ec","dol_uk","dolphin_uk","fish_","fish_c","fish_p","fish_uk","pm_frg","uk_","uk_1","uk_uk","dol_w","Notes","SiteID"
"48",2020-02-09,23,1,0,0,0,0,0,0,3,0,0,0,0,0,0,"; ; ; double check","MRE"
"49",2020-02-10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"; ; ; ; ","MRE"
"50",2020-02-10,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,"; ; ; ; ; ; ; ","MRE"
"51",2020-02-10,2,0,0,0,0,0,0,1,4,0,0,0,0,1,0,"; ; ; ; ; ","MRE"
"52",2020-02-10,3,1,0,0,0,0,0,1,2,0,0,0,0,1,0,"; ; double check; ; ","MRE"
"53",2020-02-10,4,1,0,0,0,0,0,1,6,0,0,0,0,0,0,"; ; ; ; ; ; ; make clip for Gen","MRE"
"54",2020-02-10,5,2,0,0,0,0,0,1,6,0,0,0,0,0,0,"double check; sounds like a heartbeat; same as 25; ; ; ; has heart beats again; ; ; ","MRE"
"55",2020-02-10,6,0,0,0,0,0,0,1,5,0,0,0,0,1,0,"; ; ; ; ; ; ","MRE"
"56",2020-02-10,7,0,0,0,0,0,0,1,6,0,0,0,0,3,0,"; ; ; ; ; clip possible bal; check! make clip; ; ?; ","MRE"
"57",2020-02-10,8,0,0,0,0,0,0,0,7,0,0,0,0,2,0,"; ; ; ; ; ; ; ; ","MRE"
"58",2020-02-10,9,1,0,0,0,0,0,0,9,0,0,0,0,0,0,"; ; ; ; ; ; ; ; ; check","MRE"
"59",2020-02-10,10,1,0,0,0,0,0,0,5,0,0,0,0,0,0,"; ; ; ; ; ?","MRE"
"60",2020-02-10,11,1,0,0,0,0,0,0,7,0,0,0,0,0,0,"; ; ; ; ; ; ; ","MRE"
"61",2020-02-10,12,1,0,0,0,0,0,0,7,0,0,0,0,1,1,"; ; ; ; ; ; ; ; ","MRE"
"62",2020-02-10,13,0,0,0,0,0,0,0,5,0,0,0,0,1,0,"; ; ; ; ; ","MRE"
"63",2020-02-10,14,0,0,0,0,0,0,0,5,0,0,0,0,1,0,"; ; ; ; ; ","MRE"
"64",2020-02-10,15,2,0,0,0,0,0,0,9,0,0,0,0,1,0,"; ; ; ; ; ; ; ; ; check!; ; checj","MRE"
"65",2020-02-10,16,1,0,0,0,0,0,0,13,0,0,0,0,1,0,"; ; ; check; ; ; ; ; seen before; ; ; ; ; ; ","MRE"
"66",2020-02-10,17,1,0,0,0,0,0,0,12,0,0,0,0,1,0,"; ; ; ; ; ; ; check; ; ; ; ; ; ","MRE"
"67",2020-02-10,18,0,0,0,0,0,0,0,7,0,0,0,0,2,0,"; ; ; ; ; interesting; ; ; ","MRE"
"68",2020-02-10,19,1,0,0,0,0,0,0,9,0,0,0,0,1,0,"; ; ; check; faint; ; ; ; ; ; ; ","MRE"
"69",2020-02-10,20,0,0,0,0,0,0,0,9,0,0,0,0,0,0,"; ; ; ; ; ; ; ; ","MRE"
"70",2020-02-10,21,1,0,0,0,0,0,1,5,0,0,0,0,3,0,"; ; ; check; ; ; ; ; ; ","MRE"
"71",2020-02-10,22,0,0,0,0,0,0,1,3,0,0,0,0,0,0,"; ; ; ","MRE"
"72",2020-02-10,23,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; ","MRE"
"73",2020-02-11,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,"; ; ; ; ","MRE"
"74",2020-02-11,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,"; ; ; ; ; ","MRE"
"75",2020-02-11,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; ","MRE"
"76",2020-02-11,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; ","MRE"
"77",2020-02-11,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"; ; ","MRE"
"78",2020-02-11,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; ","MRE"
"79",2020-02-11,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,"; ; ; ; ; ","MRE"
"80",2020-02-11,7,2,0,0,0,0,0,1,4,0,0,0,0,1,0,"; ; ; ; check; check; ; ","MRE"
"81",2020-02-11,8,1,0,0,0,0,0,0,4,0,0,0,0,2,0,"; ; ; ; check; ; ","MRE"
"82",2020-02-11,9,0,0,0,0,0,0,0,3,0,0,0,0,1,0,"; ; ; ","MRE"
"83",2020-02-11,10,0,0,0,0,0,0,0,4,0,0,0,0,1,0,"; ; ; ; ","MRE"
"84",2020-02-11,11,0,0,0,0,0,0,0,3,0,0,0,0,1,0,"; ; ; ","MRE"
"85",2020-02-11,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"; ; ","MRE"
"86",2020-02-11,13,0,0,0,0,0,0,0,2,0,0,0,0,1,0,"; ; water sound","MRE"
"87",2020-02-11,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,"MRE"
"88",2020-02-11,15,0,0,0,0,0,0,0,4,0,0,0,0,1,0,"; ; ; ; ","MRE"
"89",2020-02-11,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"; ; ","MRE"
"90",2020-02-11,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,"MRE"
"91",2020-02-11,18,0,0,0,0,0,0,0,3,0,0,0,0,1,0,"; ; ; ","MRE"
"92",2020-02-11,19,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"; ; ","MRE"
"93",2020-02-11,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"; ; ","MRE"
"94",2020-02-11,21,0,0,0,0,0,0,1,4,0,0,0,0,0,0,"; ; ; ; ","MRE"
"95",2020-02-11,22,0,0,0,0,0,0,1,4,0,0,0,0,0,0,"; ; ; ; ","MRE"
"96",2020-02-11,23,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,"MRE"
"97",2020-02-12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,"MRE"
"98",2020-02-12,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; ","MRE"
"99",2020-02-12,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"; ; ","MRE"
"100",2020-02-12,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"; ; ","MRE"
"101",2020-02-12,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; good example","MRE"
"102",2020-02-12,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,"; ; ; ; ; ","MRE"
"103",2020-02-12,6,0,0,0,0,0,0,1,4,0,0,0,0,0,0,"; ; ; ; ","MRE"
"104",2020-02-12,7,0,0,0,0,0,0,1,3,0,0,0,0,1,0,"; ; ; ; ","MRE"
"105",2020-02-12,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,"MRE"
"106",2020-02-12,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,"; ; ; ; ; ; ","MRE"
"107",2020-02-12,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; ","MRE"
"108",2020-02-12,11,0,0,0,0,0,0,0,4,0,0,0,0,1,1,"; ; ; ; ","MRE"
"109",2020-02-12,12,0,0,0,0,0,0,0,5,0,0,0,0,2,0,"; ; ; ; ; ; ","MRE"
"110",2020-02-12,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"; ; ; ; ","MRE"
"111",2020-02-12,14,0,0,0,0,0,0,0,5,0,0,0,0,1,0,"; ; ; ; ; ","MRE"
"112",2020-02-12,15,0,0,0,0,0,0,0,4,0,0,0,0,1,0,"; ; ; ; ","MRE"
"113",2020-02-12,16,0,0,0,0,0,0,0,4,0,0,0,0,1,0,"check; ; ; ; ","MRE"
"114",2020-02-12,17,0,0,0,0,0,0,0,6,0,0,0,0,0,0,"; ; ; ; ; ","MRE"
"115",2020-02-12,18,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"; ; ; ; ","MRE"
"116",2020-02-12,19,0,0,0,0,0,0,0,3,0,0,0,0,0,1,"; ; ","MRE"
"117",2020-02-12,20,0,0,0,0,0,0,0,3,0,0,0,0,1,1,"; interesting; ; ","MRE"
"118",2020-02-12,21,0,0,0,0,0,0,2,3,0,0,0,0,0,0,"; ; ; ; good example","MRE"
"119",2020-02-12,22,0,0,0,0,0,0,1,2,0,0,0,0,0,0,"; ; ","MRE"
"120",2020-02-12,23,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"; ; ","MRE"
"121",2020-02-13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,"MRE"
"122",2020-02-13,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,"; ; ; ; ; ","MRE"
"123",2020-02-13,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"; ; ; ; ","MRE"
"124",2020-02-13,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"; ; ","MRE"
"125",2020-02-13,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; ","MRE"
"126",2020-02-13,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; ","MRE"
"127",2020-02-13,6,0,0,0,0,0,0,1,4,0,0,0,0,0,0,"; ; ; ; ","MRE"
"128",2020-02-13,7,0,0,0,0,0,0,1,5,0,0,0,0,0,0,"; ; good example; check; same as 31; ","MRE"
"129",2020-02-13,8,1,0,0,0,0,0,0,6,0,0,0,0,0,0,"; ; ; ; check; ; good example","MRE"
"130",2020-02-13,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,"; ; ; ; ; ","MRE"
"131",2020-02-13,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,"; ; ; ; ; ","MRE"
"132",2020-02-13,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"; ; ; ; ","MRE"
"133",2020-02-13,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,"; ; ; ; ; ","MRE"
"134",2020-02-13,13,0,0,0,0,0,0,0,7,0,0,0,0,0,1,"; ; ; ; ; good example; ","MRE"
"135",2020-02-13,14,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"; ; cool; ; ","MRE"
"136",2020-02-13,15,0,0,0,0,0,0,0,8,0,0,0,0,0,0,"; ; ; ; ; ; ; interesting","MRE"
"137",2020-02-13,16,0,0,0,0,0,0,0,6,0,0,0,0,0,0,"; ; ; ; ; ","MRE"
"138",2020-02-13,17,0,0,0,0,0,0,0,6,0,0,0,0,0,0,"; ; ; ; ; ","MRE"
"139",2020-02-13,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"; ; ","MRE"
"140",2020-02-13,19,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; ","MRE"
"141",2020-02-13,20,0,0,0,0,0,0,1,4,0,0,0,0,0,0,"; ; ; ; ","MRE"
"142",2020-02-13,21,0,0,0,0,0,0,2,2,0,0,0,0,0,0,"cool; ; ; good example","MRE"
"143",2020-02-13,22,0,0,0,0,0,0,1,3,0,0,0,0,0,0,"; ; ; ","MRE"
"144",2020-02-13,23,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; ","MRE"
"145",2020-02-14,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,"; ; ; ; ; ","MRE"
"146",2020-02-14,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,"; ; ; ; ; ; ; ","MRE"
"147",2020-02-14,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; ","MRE"
"148",2020-02-14,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; ","MRE"
"149",2020-02-14,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; ","MRE"
"150",2020-02-14,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"; ; ; ; interesting","MRE"
"151",2020-02-14,6,0,0,0,0,0,0,1,5,0,0,0,0,0,0,"; ; ; ; ; ","MRE"
"152",2020-02-14,7,0,0,0,0,0,0,1,4,0,0,0,0,1,0,"; ; ; ; ; ","MRE"
"153",2020-02-14,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; ","MRE"
"154",2020-02-14,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; ","MRE"
"155",2020-02-14,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,"MRE"
"156",2020-02-14,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,"MRE"
"157",2020-02-14,12,0,0,0,0,0,0,0,3,0,0,0,0,0,1,"; ; ","MRE"
"158",2020-02-14,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; ","MRE"
"159",2020-02-14,14,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"; ; ; ","MRE"
"160",2020-02-14,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"; ; ","MRE"
"161",2020-02-14,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"; chorus?","MRE"
"162",2020-02-14,17,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"; ; ; ; ","MRE"
"163",2020-02-14,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,"MRE"
"164",2020-02-14,19,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"; ; ","MRE"
"165",2020-02-14,20,0,0,0,0,0,0,0,3,0,0,0,0,1,1,"; ; ; bubbles","MRE"
"166",2020-02-14,21,0,0,0,0,0,0,1,3,0,0,0,0,0,1,"; ; ; good example","MRE"
"167",2020-02-14,22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,"MRE"
"168",2020-02-14,23,0,0,0,0,0,0,0,4,0,0,0,0,0,1,"; ; ; ","MRE"
"169",2020-02-15,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,"; ; ; ","MRE"
"170",2020-02-15,1,0,0,0,0,0,0,0,8,0,0,0,0,0,1,"; ; ; ; ; ; ; ","MRE"
"171",2020-02-15,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,"; ; ; ; ; ; ","MRE"
"172",2020-02-15,3,0,0,0,0,0,0,0,5,0,0,0,0,1,0,"; ; ; ; ; ","MRE"
"173",2020-02-15,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,"; ; ; ; ; ","MRE"
"174",2020-02-15,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"; cool; ; good example","MRE"
"175",2020-02-15,6,0,0,0,0,0,0,1,7,0,0,0,0,0,0,"; ; ; ; good example; ; ; ","MRE"
"176",2020-02-15,7,0,0,0,0,0,0,1,7,0,0,0,0,1,0,"; ; ; ; ; ; check; ; ","MRE"
"177",2020-02-15,8,0,0,0,0,0,0,0,6,0,0,0,0,0,1,"; ; cool; checl; same as 50; check; same as 50","MRE"
"178",2020-02-15,9,1,0,0,0,0,0,0,5,0,0,0,0,1,1,"check; ; ; ; check!; ; interesting","MRE"
"179",2020-02-15,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"; ; same as 50; ; ","MRE"
"180",2020-02-15,11,0,0,0,0,0,0,0,4,0,0,0,0,1,0,"; ; something bumping into recorder; ; ","MRE"
"181",2020-02-15,12,0,0,0,0,0,0,0,7,0,0,0,0,0,0,"; ; ; ; ; ; ","MRE"
"182",2020-02-15,13,0,0,0,0,0,0,0,6,0,0,0,0,1,0,"; ; ; ; check; ; ","MRE"
"183",2020-02-15,14,0,0,0,0,0,0,0,5,0,0,0,0,1,0,"; ; ; ; ; ","MRE"
"184",2020-02-15,15,0,0,0,0,0,0,0,1,0,0,0,0,2,0,"; ; interesting","MRE"
"185",2020-02-15,16,0,0,0,0,0,0,0,9,0,0,0,0,0,0,"; ; ; ; ; ; ; ; ","MRE"
"186",2020-02-15,17,1,0,0,0,0,1,0,5,0,0,0,0,1,0,"; ; ; ; ; ; check; same water noise","MRE"
"187",2020-02-15,18,0,0,0,0,0,0,0,7,0,0,0,0,2,0,"; ; ; good example; ; check; ; ; ","MRE"
"188",2020-02-15,19,0,0,0,0,0,0,0,5,0,0,0,0,2,0,"; ; ; water noise; cool; ; ","MRE"
"189",2020-02-15,20,0,0,0,0,0,0,0,6,0,0,0,0,1,0,"; ; ; water sound; check; ; ","MRE"
"190",2020-02-15,21,0,0,0,0,0,0,1,4,0,0,0,0,0,0,"; ; ; ; ","MRE"
"191",2020-02-15,22,1,0,0,0,0,0,1,3,0,0,0,0,0,0,"; ; ; ; check","MRE"
"192",2020-02-15,23,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"; ; ; ; ","MRE"
"193",2020-02-16,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"; ; ; ; ","MRE"
"194",2020-02-16,1,1,0,0,0,0,0,0,7,0,0,0,0,1,0,"; ; check; ; ; ; ; ; ","MRE"
"195",2020-02-16,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,"; ; cool; ; ; ; ","MRE"
"196",2020-02-16,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"; ; ; ; ","MRE"
"197",2020-02-16,4,0,0,0,0,0,0,0,4,0,0,0,0,0,1,"; ; ; ","MRE"
"198",2020-02-16,5,0,0,0,0,0,0,0,7,0,0,0,0,2,0,"check; ; same as 25; ; ; ; ; ; ","MRE"
"199",2020-02-16,6,0,0,0,0,0,0,1,8,0,0,0,0,0,0,"; ; ; ; ; ; ; ; ","MRE"
"200",2020-02-16,7,0,0,0,0,0,0,2,5,0,0,0,0,0,0,"; ; ; ; ; ; ","MRE"
"201",2020-02-16,8,0,0,0,0,0,0,0,7,0,0,0,0,1,1,"; ; ; ; ; ; ; ","MRE"
"202",2020-02-16,9,0,0,0,0,0,0,0,7,0,0,0,0,1,0,"; ; interesting; ; ; ; ; ","MRE"
"203",2020-02-16,10,0,0,0,0,0,0,0,7,0,0,0,0,1,1,"; ; ; ; ; ; ; ","MRE"
"204",2020-02-16,11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,"; ; ; ; ; ; ","MRE"
"205",2020-02-16,12,0,0,0,0,0,0,0,12,0,0,0,0,1,1,"; ; ; ; ; ; ; ; ; ; check; check; ","MRE"
"206",2020-02-16,13,0,0,0,0,0,0,0,11,0,0,0,0,0,0,"; ; ; ; ; ; ; ; ; ; ","MRE"
"207",2020-02-16,14,0,0,0,0,0,0,0,10,0,0,0,0,0,0,"; ; ; ; ; ; ; ; ; ","MRE"
"208",2020-02-16,15,0,0,0,0,0,0,0,12,0,0,0,0,1,0,"; ; ; ; ; ; ; ; cool; wave?; ; cool; ","MRE"
"209",2020-02-16,16,0,0,0,0,0,0,0,5,0,0,0,0,2,0,"; ; ; ; ; ; ","MRE"
"210",2020-02-16,17,0,0,0,0,0,0,0,9,0,0,0,0,1,0,"; ; ; ; ; ; ; interesting; ; probs fish","MRE"
"211",2020-02-16,18,0,0,0,0,0,0,0,7,0,0,0,0,1,0,"; ; ; ; ; ; ; ","MRE"
"212",2020-02-16,19,0,0,0,0,0,0,0,6,0,0,0,0,1,0,"; ; ; ; ; ; ","MRE"
"213",2020-02-16,20,1,1,0,0,0,0,0,11,0,0,0,0,3,1,"; ; ; check!; ; ; ; Same thing as 167 CHeck!; ; ; check; interesting; cool! check; ; COOL; check","MRE"
"214",2020-02-16,21,1,0,0,0,0,0,2,8,0,0,0,0,0,0,"; ; ; ; ; ; ; check; ; ; ","MRE"
"215",2020-02-16,22,0,0,0,0,0,0,1,7,0,0,0,0,0,0,"; ; ; ; ; ; check; ","MRE"
"216",2020-02-16,23,0,0,0,0,0,0,1,8,0,0,0,0,0,0,"; ; ; ; ; ; ; ; ","MRE"
"217",2020-02-17,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,"; ; ; ; ; ; ; ; ; ","MRE"
"218",2020-02-17,1,0,0,0,0,0,0,0,23,0,0,0,0,2,0,"; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ","MRE"
"219",2020-02-17,2,0,0,0,0,0,0,0,10,0,0,0,0,2,0,"; ; ; ; ; ; check; ; ; ; ; ","MRE"
"220",2020-02-17,3,0,0,0,0,0,0,0,11,0,0,0,0,1,0,"; ; ; ; ; ; ; ; ; ; ; ","MRE"
"221",2020-02-17,4,0,0,0,0,0,0,0,12,0,0,0,0,2,0,"; ; ; ; ; ; ; ; ; ; ; ; ; ","MRE"
"222",2020-02-17,5,0,0,0,0,0,0,0,10,0,0,0,0,2,0,"; ; ; ; ; ; ; maybe bal; ; ; ; check","MRE"
"223",2020-02-17,6,0,0,0,0,0,0,2,11,0,0,0,0,1,0,"; ; ; ; ; ; ; ; ; ; ; ; ; cool so much going on","MRE"
"224",2020-02-17,7,1,0,0,0,0,0,2,10,0,0,0,0,2,0,"; ; ; ; ; ; ; ; ; ; check; ; ; check; check","MRE"
"225",2020-02-17,8,1,0,0,0,0,0,0,10,0,0,0,0,1,0,"; ; ; ; ; ; check; ; check; ; check; ","MRE"
"226",2020-02-17,9,0,0,0,0,0,0,0,13,0,0,0,0,0,1,"; ; ; ; ; ; ; ; ; ; ; ; ","MRE"
"227",2020-02-17,10,0,0,0,0,0,0,0,9,0,0,0,0,1,0,"; ; ; ; ; ; ; ; ; ","MRE"
"228",2020-02-17,11,0,0,0,0,0,0,0,15,0,0,0,0,0,1,"; ; ; ; ; ; ; ; ; ; ; ; ; ; ","MRE"
"229",2020-02-17,12,0,0,0,0,0,0,0,8,0,0,0,0,0,1,"; ; ; ; ; ; ; ","MRE"
