"Monthly Climate Statistics for 'PORT MACQUARIE (HILL ST)' [060026]"
"Created on [ 18 Feb 2026 15:06:08 UTC]"

"060026 PORT MACQUARIE (HILL ST)"
"Commenced: 1842"
"Last Record: 2010"
"Latitude:   31.44 Degrees South"
"Longitude:  152.91 Degrees East"
"Elevation:      20 m"
"State: NSW"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Date of Highest daily rainfall for years 1841 to 2010 ",08 Jan  1962,06 Feb  2002,12 Mar  1974,28 Apr  1963,01 May  1955,19 Jun  1930,20 Jul  1950,31 Aug  1935,23 Sep  1881,18 Oct  1914,09 Nov  1887,05 Dec  1873,28 Apr  1963,N/A,1841,2010
"Mean number of days of rain for years 1840 to 2010 ",12.4,13.2,14.1,12.6,11.3,10.0,9.1,8.5,8.8,10.5,11.0,11.2,132.7,149,1840,2010
"Mean number of days of rain >= 1 mm for years 1841 to 2010 ",8.6,9.4,10.4,9.0,7.9,7.1,6.1,5.6,6.0,7.2,7.4,7.9,92.6,142,1841,2010
"Mean number of days of rain >= 10 mm for years 1841 to 2010 ",3.3,3.7,4.0,3.7,3.1,3.0,2.2,1.7,1.8,2.2,2.6,2.8,34.1,142,1841,2010
"Mean number of days of rain >= 25 mm for years 1841 to 2010 ",1.3,1.7,1.6,1.6,1.3,1.3,0.9,0.7,0.7,0.7,0.8,1.2,13.8,142,1841,2010
"Mean daily wind run (km) for years null to null ", , , , , , , , , , , , , ,, , 
"Maximum wind gust speed (km/h) for years null to null ", , , , , , , , , , , , , ,, , 
"Date of Maximum wind gust speed for years null to null ", , , , , , , , , , , , , ,N/A, , 
"Mean daily sunshine (hours) for years null to null ", , , , , , , , , , , , , ,, , 
"Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2026 ",24.0,21.3,17.9,15.1,11.5,10.0,11.0,14.5,18.4,20.9,22.5,23.8,17.6,36,1990,2026
"Mean number of clear days for years 1957 to 2003 ",7.9,5.9,8.3,9.4,9.8,10.7,13.2,14.5,12.9,10.0,7.8,8.5,118.9,47,1957,2003
"Mean number of cloudy days for years 1957 to 2003 ",11.2,11.5,10.8,9.3,10.1,9.6,7.6,6.9,6.1,9.4,10.6,10.6,113.7,47,1957,2003
"Mean daily evaporation (mm) for years null to null ", , , , , , , , , , , , , ,, , 
"Mean 9am temperature (°C) for years 1907 to 2003 ",23.1,22.8,21.8,19.0,15.6,12.8,11.7,13.3,16.5,19.2,20.8,22.4,18.2,86,1907,2003
"Mean 9am wet bulb temperature (°C) for years 1907 to 2003 ",20.5,20.6,19.6,16.8,13.7,11.1,9.8,10.9,13.5,16.1,17.9,19.5,15.8,85,1907,2003
"Mean 9am dew point temperature (°C) for years 1957 to 2003 ",18.8,19.1,17.9,15.2,11.8,9.2,7.3,8.0,10.2,13.1,15.4,17.4,13.6,46,1957,2003
"Mean 9am relative humidity (%) for years 1907 to 2003 ",78,81,81,79,80,80,77,73,70,71,74,76,77,85,1907,2003
"Mean 9am cloud cover (okas) for years 1907 to 2003 ",4.2,4.4,4.1,3.7,3.6,3.6,3.1,2.8,2.9,3.6,4.0,4.0,3.7,78,1907,2003
"Mean 9am wind speed (km/h) for years 1957 to 2003 ",14.4,13.7,13.3,13.4,13.3,13.8,13.5,13.5,14.5,15.2,15.1,14.3,14.0,46,1957,2003
"Mean 3pm temperature (°C) for years 1909 to 2003 ",24.4,24.6,23.9,22.0,19.7,17.6,17.0,17.7,19.1,20.3,21.8,23.2,20.9,84,1909,2003
"Mean 3pm wet bulb temperature (°C) for years 1909 to 2003 ",21.4,21.6,20.8,18.5,16.1,14.1,13.2,13.7,15.4,17.1,18.7,20.3,17.6,83,1909,2003
"Mean 3pm dew point temperature (°C) for years 1957 to 2003 ",19.4,19.6,18.5,16.0,12.9,10.3,8.7,9.3,11.7,14.3,16.2,18.1,14.6,46,1957,2003
"Mean 3pm relative humidity (%) for years 1909 to 2003 ",75,75,74,70,68,66,63,62,66,71,73,75,70,83,1909,2003
"Mean 3pm cloud cover (oktas) for years 1921 to 2003 ",4.2,4.4,4.2,4.1,4.0,3.9,3.4,3.3,3.4,3.9,4.2,4.3,3.9,75,1921,2003
"Mean 3pm wind speed (km/h) for years 1957 to 2003 ",21.4,20.7,19.6,18.5,16.8,17.3,18.1,20.1,22.7,22.8,22.5,21.0,20.1,46,1957,2003
